,required,required,required,required,required
,uint32,uint32,uint32,uint32,string
,id,iconId,iconType,iconIndex,iconPath
备注,id,战队头像id,对应动态表的type值,对应动态表的二进制位,头像路径
西蒙,1,101,0,0,Textures/Atlas/Dyn/CharacterCommonHead/simone.png
温丽,2,201,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Wenly.png
爱琳娜,3,301,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Elena.png
泰雷,4,102,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Thairay.png
爱琪,5,302,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Rose.png
兰奇,6,103,0,0,Textures/Atlas/Dyn/CharacterCommonHead/LancyBlack.png
葛莱蒂丝,7,105,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Arwen.png
木禅,8,104,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Muchan.png
阿德琳,9,108,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Druid.png
乔伊,10,401,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Joey.png
夜崎隐,11,107,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Cain.png
檐鬼,12,106,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Aghost.png
米兰达,13,112,0,0,Textures/Atlas/Dyn/CharacterCommonHead/Miaer.png
米修,14,10101,11,1,Textures/Atlas/Dyn/CharacterCommonHead/ApuffofMichaux.png
由莉,15,10056,11,2,Textures/Atlas/Dyn/CharacterCommonHead/Yuro.png
赫丽,16,10028,11,3,Textures/Atlas/Dyn/CharacterCommonHead/Herly.png
贪婪,17,10103,11,4,Textures/Atlas/Dyn/CharacterCommonHead/Greedy.png
夜崎隐趣味,18,10158,11,5,Textures/Atlas/Dyn/CharacterCommonHead/Cain01.png
泰雷趣味,19,10166,11,6,Textures/Atlas/Dyn/CharacterCommonHead/Thairay01.png
