,required,required,required
,uint32,uint32,uint32
,id,open_day,level_limit
备注,流水ID,开服天数,等级上限
,1,1,24
,2,2,28
,3,3,32
,4,4,34
,5,5,35
,6,6,37
,7,7,39
,8,8,40
,9,9,42
,10,10,43
,11,11,44
,12,12,45
,13,13,46
,14,14,47
,15,15,48
,16,16,49
,17,17,49
,18,18,50
,19,19,51
,20,20,51
,21,21,52
,22,22,52
,23,23,53
,24,24,53
,25,25,54
,26,26,54
,27,27,55
,28,28,55
,29,29,56
,30,30,56
,31,31,56
,32,32,57
,33,33,57
,34,34,57
,35,35,58
,36,36,58
,37,37,58
,38,38,59
,39,39,59
,40,40,59
,41,41,60
,42,42,60
,43,43,60
,44,44,61
,45,45,61
,46,46,61
,47,47,61
,48,48,62
,49,49,62
,50,50,62
,51,51,62
,52,52,63
,53,53,63
,54,54,63
,55,55,63
,56,56,63
,57,57,64
,58,58,64
,59,59,64
,60,60,64
,61,61,64
,62,62,65
,63,63,65
,64,64,65
,65,65,65
,66,66,65
,67,67,66
,68,68,66
,69,69,66
,70,70,66
,71,71,66
,72,72,67
,73,73,67
,74,74,67
,75,75,67
,76,76,67
,77,77,67
,78,78,68
,79,79,68
,80,80,68
,81,81,68
,82,82,68
,83,83,68
,84,84,69
,85,85,69
,86,86,69
,87,87,69
,88,88,69
,89,89,69
,90,90,69
,91,91,70
,92,92,70
,93,93,70
,94,94,70
,95,95,70
,96,96,70
,97,97,70
,98,98,71
,99,99,71
,100,100,71
,101,101,71
,102,102,71
,103,103,71
,104,104,71
,105,105,71
,106,106,72
,107,107,72
,108,108,72
,109,109,72
,110,110,72
,111,111,72
,112,112,72
,113,113,72
,114,114,73
,115,115,73
,116,116,73
,117,117,73
,118,118,73
,119,119,73
,120,120,73
,121,121,73
,122,122,73
,123,123,74
,124,124,74
,125,125,74
,126,126,74
,127,127,74
,128,128,74
,129,129,74
,130,130,74
,131,131,74
,132,132,75
,133,133,75
,134,134,75
,135,135,75
,136,136,75
,137,137,75
,138,138,75
,139,139,75
,140,140,75
,141,141,75
,142,142,76
,143,143,76
,144,144,76
,145,145,76
,146,146,76
,147,147,76
,148,148,76
,149,149,76
,150,150,76
,151,151,76
,152,152,76
,153,153,77
,154,154,77
,155,155,77
,156,156,77
,157,157,77
,158,158,77
,159,159,77
,160,160,77
,161,161,77
,162,162,77
,163,163,77
,164,164,78
,165,165,78
,166,166,78
,167,167,78
,168,168,78
,169,169,78
,170,170,78
,171,171,78
,172,172,78
,173,173,78
,174,174,78
,175,175,79
,176,176,79
,177,177,79
,178,178,79
,179,179,79
,180,180,79
,181,181,79
,182,182,79
,183,183,79
,184,184,79
,185,185,79
,186,186,79
,187,187,79
,188,188,80
,189,189,80
,190,190,80
,191,191,80
,192,192,80
,193,193,80
,194,194,80
,195,195,80
,196,196,80
,197,197,80
,198,198,80
,199,199,80
,200,200,80
,201,201,81
,202,202,81
,203,203,81
,204,204,81
,205,205,81
,206,206,81
,207,207,81
,208,208,81
,209,209,81
,210,210,81
,211,211,81
,212,212,81
,213,213,81
,214,214,81
,215,215,82
,216,216,82
,217,217,82
,218,218,82
,219,219,82
,220,220,82
,221,221,82
,222,222,82
,223,223,82
,224,224,82
,225,225,82
,226,226,82
,227,227,82
,228,228,82
,229,229,83
,230,230,83
,231,231,83
,232,232,83
,233,233,83
,234,234,83
,235,235,83
,236,236,83
,237,237,83
,238,238,83
,239,239,83
,240,240,83
,241,241,83
,242,242,83
,243,243,83
,244,244,84
,245,245,84
,246,246,84
,247,247,84
,248,248,84
,249,249,84
,250,250,84
,251,251,84
,252,252,84
,253,253,84
,254,254,84
,255,255,84
,256,256,84
,257,257,84
,258,258,84
,259,259,84
,260,260,85
,261,261,85
,262,262,85
,263,263,85
,264,264,85
,265,265,85
,266,266,85
,267,267,85
,268,268,85
,269,269,85
,270,270,85
,271,271,85
,272,272,85
,273,273,85
,274,274,85
,275,275,85
,276,276,85
,277,277,86
,278,278,86
,279,279,86
,280,280,86
,281,281,86
,282,282,86
,283,283,86
,284,284,86
,285,285,86
,286,286,86
,287,287,86
,288,288,86
,289,289,86
,290,290,86
,291,291,86
,292,292,86
,293,293,86
,294,294,87
,295,295,87
,296,296,87
,297,297,87
,298,298,87
,299,299,87
,300,300,87
,301,301,87
,302,302,87
,303,303,87
,304,304,87
,305,305,87
,306,306,87
,307,307,87
,308,308,87
,309,309,87
,310,310,87
,311,311,87
,312,312,87
,313,313,88
,314,314,88
,315,315,88
,316,316,88
,317,317,88
,318,318,88
,319,319,88
,320,320,88
,321,321,88
,322,322,88
,323,323,88
,324,324,88
,325,325,88
,326,326,88
,327,327,88
,328,328,88
,329,329,88
,330,330,88
,331,331,88
,332,332,89
,333,333,89
,334,334,89
,335,335,89
,336,336,89
,337,337,89
,338,338,89
,339,339,89
,340,340,89
,341,341,89
,342,342,89
,343,343,89
,344,344,89
,345,345,89
,346,346,89
,347,347,89
,348,348,89
,349,349,89
,350,350,89
,351,351,89
,352,352,90
,353,353,90
,354,354,90
,355,355,90
,356,356,90
,357,357,90
,358,358,90
,359,359,90
,360,360,90
,361,361,90
,362,362,90
,363,363,90
,364,364,90
,365,365,90
