,required,repeated,repeated,required
,uint32,uint32,uint32,uint32
,id,dialog_ids,chat_ids,replay
备注,地图刷新表id,对话 id组,冒泡聊天id组,触发冒泡间隔
,1000013,1398;1399;1400,1023;1024;1025;1026,10
,1000015,1368;1369;1370,1016;1017;1018,10
,1000016,,1051;1052;1053;1054,10
,1000017,,1004;1005;1006;1007,10
,1000044,,1038;1039;1040;1041;1133,10
,1000045,,1038;1039;1040;1041;1133,10
,1000047,,1042;1043;1044;1045;1132,10
,1000048,,1046;1047;1048;1049;1050,10
,1000049,,1046;1047;1048;1049;1050,10
,1000050,1410;1411;1412,1011;1012;1013;1014;1015,10
,1000053,,1055;1056;1057,10
,1000054,1422;1423;1424,1027;1028;1029,10
,1000056,,1058;1059;1060;1070,10
,1000062,,1064;1065;1066,10
,1000075,1335;1336;1337,1008;1009;1010,10
,1000084,1377;1378;1379,1019;1020;1021;1022,10
,1000096,,1055;1056;1057,10
,1000110,1554,1030;1031;1032;1033,10
,1000111,1555,1034;1035;1036;1037,10
,1000112,,1061;1062;1063,10
,1000114,,1134,10
,1000120,,1067;1068;1069,10
,1000121,,1067;1068;1069,10
,1000169,,1083,10
,1000175,,1087,10
,1000176,,1088,10
,1000177,,1089,10
,1000178,,1090,10
,1000193,,1131,10
,1000194,,1131,10
,3021001,,1081,0
,3021011,,1082,0
,3071006,,1072,8
,3071007,,1073,8
,3071008,,1074,8
,3071009,,1075,8
,3073002,,1071,10
,3074007,,1086,3
,20040063,,1118,10
,20040064,,1119,10
,20040065,,1120,10
,20040066,,1121,10
,20040067,,1122,10
,99990024,,1077,10
,99990025,,1077,10
,99990026,,1077,10
,99990056,,1078,10
,99990057,,1078,10
,99990058,,1078,10
,99990059,,1078,10
,99990060,,1078,10
,99990061,,1079,10
,99990066,,1080,10
