,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,string
,id,monsterId,monsterGroupId,triggerType,min,max,dlgArray
备注,id,怪物ID,触发的怪物组id,触发类型：默认0 血量百分比触发,最小值,最大值,对白组
,70110201,701102,701102,0,88,100,1
,70110202,701102,701102,0,67,88,2;3
,70110203,701102,701102,0,50,67,4;5
,70110204,701102,701102,0,0,50,6;7
,90012601,9001021,900126,0,0,100,10000
,90012701,9001022,900127,0,80,100,10001
,90012702,9001022,900127,0,40,80,10002
,90013601,9001031,900136,0,0,60,10006
,90013702,9001031,900137,0,0,40,10007
,90013801,9001032,900138,0,70,80,10008
,90013901,9001033,900139,0,0,10,10010
,90014001,9001034,900140,0,0,70,10011
,90013301,9001028,900133,0,0,100,10015;10016
,90011201,9001002,900112,0,0,80,10037
,90011301,9001005,900113,0,60,70,10038
,90011302,9001005,900113,0,0,60,10039
,900021801,9000218,900301,0,90,100,10066
,900021802,9000218,900301,0,55,90,10067
,900021803,9000218,900301,0,30,55,10068
,900032601,9000326,9000326,0,100,100,10081;10069;10070;10071
,900032602,9000326,9000326,0,92,100,10072;10073;10074;10082;10104;10105
,900032603,9000326,9000326,0,50,92,10081;10083;10084;10086;10085
,900039801,9000398,9000398,0,90,100,10075;10076
,900039802,9000398,9000398,0,60,90,10077;10078
,900039803,9000398,9000398,0,0,60,10079;10080
,900044201,9000442,9000442,0,80,99,10097;10098;10099;10100;10101;10102
