,required,required,required,required,required,required,required
,uint32,uint32,uint32,string,string,string,string
,id,subType,type,iconPath,collectingName,collected,time
备注,采集npcGroupId（999999为默认）,采集类型（是否有对白）,采集类型（1默认，2宝箱，3喂药，4砍树）,采集图标,采集过程文字,采集完成文字,采集时间(默认为1秒)
,90009,1,1,Textures/Atlas/GUI/InteractBtton/firebrand.png,,,
,90010,1,2,Textures/Atlas/GUI/InteractBtton/letter.png,,,
,90011,1,3,Textures/Atlas/GUI/InteractBtton/paintBook2.png,,,
,90012,1,4,Textures/Atlas/GUI/InteractBtton/paintBox.png,,,
,90013,2,1,Textures/Atlas/GUI/InteractBtton/puzzleBoxOpen.png,,,
,90014,2,2,Textures/Atlas/GUI/InteractBtton/paintKey.png,,,
,90015,2,3,Textures/Atlas/GUI/InteractBtton/puzzleBook.png,,,
,90016,2,4,Textures/Atlas/GUI/InteractBtton/book.png,,,
