,required,required,required,required,required,required
,int32,uint32,int32,uint32,string,uint32
,id,levelId,areaId,idGenEvent,transferName,showtip
备注,Id,场景Id,片区Id,gen_event的Id,传送点名称,显示传送点tip
,1,1000,1,1000201,卡诺萨城,0
,2,2001,2,2001697,罗兰镇,1
,3,2001,2,2001698,风车镇,1
,4,2001,2,2001699,阿克莱斯,1
,5,2001,2,2001700,哀嚎神殿,1
,6,2003,3,20030255,冒险者营地,1
,7,2003,3,20030256,三月边陲,1
,8,2003,3,20030257,月神森林,1
,9,2003,3,20030258,永夜森林,1
,10,2003,3,20030259,迷雾森林,1
,11,2005,4,20050084,不冬岛,1
,12,2005,4,20050085,鲸脊岛,1
,13,2005,4,20050086,阿诺特岛,1
,14,2004,5,20040032,天空城,1
,15,2005,4,20050199,口袋岛,1
