,required,required,required,required,required
,uint32,string,float,string,string
,id,bounses,scale,pos,reward_pos
备注,关卡ID,奖励预览,节点缩放系数,节点位置,首通奖励节点位置
,101,"16,200",1,"-260,-265,0","149,-44,0"
,102,"16,205",1,"390,-162,0","-122,-52.4,0"
,103,"16,210",0.9,"-31,-112,0","101,-57,0"
,104,"16,215",0.8,"-322,-32,0","99.9,-74.5,0"
,105,"16,220",0.7,"26,15,0","125.9,-85.3,0"
,106,"16,225",0.6,"271,54,0","-153.3,-31.7,0"
,107,"16,230",0.5,"-102,69,0","-153.3,-31.7,0"
,201,"16,235",1,"-260,-265,0","149,-44,0"
,202,"16,240",1,"390,-162,0","-122,-52.4,0"
,203,"16,245",0.9,"-31,-112,0","101,-57,0"
,204,"16,250",0.8,"-322,-32,0","99.9,-74.5,0"
,205,"16,255",0.7,"26,15,0","125.9,-85.3,0"
,206,"16,260",0.6,"271,54,0","-153.3,-31.7,0"
,207,"16,265",0.5,"-102,69,0","-153.3,-31.7,0"
,301,"16,270",1,"-260,-265,0","149,-44,0"
,302,"16,275",1,"390,-162,0","-122,-52.4,0"
,303,"16,280",0.9,"-31,-112,0","101,-57,0"
,304,"16,285",0.8,"-322,-32,0","99.9,-74.5,0"
,305,"16,290",0.7,"26,15,0","125.9,-85.3,0"
,306,"16,295",0.6,"271,54,0","-153.3,-31.7,0"
,307,"16,300",0.5,"-102,69,0","-153.3,-31.7,0"
,401,"16,305",1,"-260,-265,0","149,-44,0"
,402,"16,310",1,"390,-162,0","-122,-52.4,0"
,403,"16,315",0.9,"-31,-112,0","101,-57,0"
,404,"16,320",0.8,"-322,-32,0","99.9,-74.5,0"
,405,"16,325",0.7,"26,15,0","125.9,-85.3,0"
,406,"16,330",0.6,"271,54,0","-153.3,-31.7,0"
,407,"16,335",0.5,"-102,69,0","-153.3,-31.7,0"
,501,"16,340",1,"-260,-265,0","149,-44,0"
,502,"16,345",1,"390,-162,0","-122,-52.4,0"
,503,"16,350",0.9,"-31,-112,0","101,-57,0"
,504,"16,355",0.8,"-322,-32,0","99.9,-74.5,0"
,505,"16,360",0.7,"26,15,0","125.9,-85.3,0"
,506,"16,365",0.6,"271,54,0","-153.3,-31.7,0"
,507,"16,370",0.5,"-102,69,0","-153.3,-31.7,0"
,601,"16,375",1,"-260,-265,0","149,-44,0"
,602,"16,380",1,"390,-162,0","-122,-52.4,0"
,603,"16,385",0.9,"-31,-112,0","101,-57,0"
,604,"16,390",0.8,"-322,-32,0","99.9,-74.5,0"
,605,"16,395",0.7,"26,15,0","125.9,-85.3,0"
,606,"16,400",0.6,"271,54,0","-153.3,-31.7,0"
,607,"16,405",0.5,"-102,69,0","-153.3,-31.7,0"
,701,"16,410",1,"-260,-265,0","149,-44,0"
,702,"16,415",1,"390,-162,0","-122,-52.4,0"
,703,"16,420",0.9,"-31,-112,0","101,-57,0"
,704,"16,425",0.8,"-322,-32,0","99.9,-74.5,0"
,705,"16,430",0.7,"26,15,0","125.9,-85.3,0"
,706,"16,435",0.6,"271,54,0","-153.3,-31.7,0"
,707,"16,440",0.5,"-102,69,0","-153.3,-31.7,0"
,801,"16,445",1,"-260,-265,0","149,-44,0"
,802,"16,450",1,"390,-162,0","-122,-52.4,0"
,803,"16,455",0.9,"-31,-112,0","101,-57,0"
,804,"16,460",0.8,"-322,-32,0","99.9,-74.5,0"
,805,"16,465",0.7,"26,15,0","125.9,-85.3,0"
,806,"16,470",0.6,"271,54,0","-153.3,-31.7,0"
,807,"16,475",0.5,"-102,69,0","-153.3,-31.7,0"
,901,"16,480",1,"-260,-265,0","149,-44,0"
,902,"16,485",1,"390,-162,0","-122,-52.4,0"
,903,"16,490",0.9,"-31,-112,0","101,-57,0"
,904,"16,495",0.8,"-322,-32,0","99.9,-74.5,0"
,905,"16,500",0.7,"26,15,0","125.9,-85.3,0"
,906,"16,505",0.6,"271,54,0","-153.3,-31.7,0"
,907,"16,510",0.5,"-102,69,0","-153.3,-31.7,0"
,1001,"16,515",1,"-260,-265,0","149,-44,0"
,1002,"16,520",1,"390,-162,0","-122,-52.4,0"
,1003,"16,525",0.9,"-31,-112,0","101,-57,0"
,1004,"16,530",0.8,"-322,-32,0","99.9,-74.5,0"
,1005,"16,535",0.7,"26,15,0","125.9,-85.3,0"
,1006,"16,540",0.6,"271,54,0","-153.3,-31.7,0"
,1007,"16,545",0.5,"-102,69,0","-153.3,-31.7,0"
,1101,"16,550",1,"-260,-265,0","149,-44,0"
,1102,"16,555",1,"390,-162,0","-122,-52.4,0"
,1103,"16,560",0.9,"-31,-112,0","101,-57,0"
,1104,"16,565",0.8,"-322,-32,0","99.9,-74.5,0"
,1105,"16,570",0.7,"26,15,0","125.9,-85.3,0"
,1106,"16,575",0.6,"271,54,0","-153.3,-31.7,0"
,1107,"16,580",0.5,"-102,69,0","-153.3,-31.7,0"
,1201,"16,585",1,"-260,-265,0","149,-44,0"
,1202,"16,590",1,"390,-162,0","-122,-52.4,0"
,1203,"16,595",0.9,"-31,-112,0","101,-57,0"
,1204,"16,600",0.8,"-322,-32,0","99.9,-74.5,0"
,1205,"16,605",0.7,"26,15,0","125.9,-85.3,0"
,1206,"16,610",0.6,"271,54,0","-153.3,-31.7,0"
,1207,"16,615",0.5,"-102,69,0","-153.3,-31.7,0"
