,required,required,required,required,required,required,required
,uint32,string,string,string,string,string,string
,id,taskid,title,subtitle,starttxt,endtxt,background
备注,页码,任务ID,标题,副标题,任务未完成前内容,任务完成后任务内容,背景
,1,70026;70027;70028;70029;70030;70031;70032;70033,闲暇假日,第一天,         难得的休息日，指挥官塞罗却突然召集。原来，由于魔族袭击，帝国防御魔法阵严重受损，需要修补。作为帝国的一份子，这种事情自然义不容辞！,         人生不就是累累累累累玩。指挥官塞罗慷慨邀请西蒙等人参加七日漫游雷鸣大陆之旅。<br>         虽然七日之旅已过了一日，但秉着游客是上帝的原则，导游卡卡二话不说接下西蒙小队。 ,
,2,70035;70036;70038;70039;70040;70041;70042,漫步三女神码头,第二天,         三女神码头，举世闻名；女神的恩泽，笼罩大地。导游的介绍慷慨激昂，可这突然出现的魔物是怎么回事？难道是旅游团精心策划的娱乐项目？！,         人生果然是累累累累累玩累！难得放松的假期，西蒙小队却以疲、倦、累三连结束了第二日的旅程。明天的旅程，只愿一切顺利。,
,3,70043;70044;70045;70046;70047;70048;70049,美味之旅,第三天,         红狮白纹鱼，白瑙湖的一种特色美食。入口即化的肉质，加上清甜的水源烹制，造就了鲜美异常的非凡美味。游客们深知，这是来自大自然的馈赠。在旅途的匆匆脚步之余，这一碗余味无穷的鱼汤，恐怕是最普通又最美好的旅途滋味。,         今天也是美（累）味（得）满（虚）满（脱）的旅程呢！明天的旅程，西蒙小队是否能真正放松呢？这个问题，没有人知道。,
,4,70051;70052;70053;70054;70055;70056;70057;70058,瞻仰罗兰大帝,第四天,         罗兰大帝英勇无惧，带着联军将横行霸道的魔族赶出雷鸣大陆，并以生命为代价封印了魔神。在罗兰大帝雕像前，竟有人公然挑衅帝国尊严！真是可恶！,         西蒙小队在今天的旅程里得到放松了吗？没有，没有，没有。不过，西蒙小队痛殴了一顿大放厥词的家伙后，心情十分舒畅。满心期待明天的旅程吧！,
,5,70059;70060;70061;70062;70063;70064;70065,风车镇购物自由行,第五天,         你看到了导游吃回扣，却没看到他暗地勾结奸商吃回扣；你有你的执着，导游有导游的算计——导游卡卡，为专业导游代言！至于风车镇魔力石？爱买不买，不买快走。 ,         今天的旅程，西蒙小队又双叒叕没有得到放松，而导游卡卡的本性却暴露无遗。明天的旅程又将发生新的故事吗？,
,6,70066;70067;70068;70069;70070;70071,阿克莱斯一日游,第六天,         旅游团终于呈现出它本该有的样子，一路走马观花，景点打卡。当西蒙小队沉浸在旅途愉悦时，异变突生。果然，这趟旅途注定无法平静，只有喧闹才配得上它。,         西蒙小队在旅途中是不可能放松的，这几日都不可能放松的。遗迹中出现的大量魔物引起众人警惕，旅游团中似乎有人正在谋划奇怪的事情！,
,7,70196;70197;70198;70199;70200;70201;70202,最后的旅程,第七天,         时间一晃，七日之旅已接近尾声。团中潜伏已久的魔族终于按捺不住开始行动。本该是圆满的收官之日，却又被搞得一团糟。,         呼……谁说旅游令人愉悦，西蒙就和谁急。连日的旅游令西蒙小队疲惫不堪。纹章石魔力泄露这种问题，就交给指挥官塞罗处理吧。现在的他们，只想蒙头睡上一觉。,
