,required,required,required,required
,uint32,uint32,uint32,uint32
,id,monster_id,status_id,team
备注,任务id,核心怪物id,特性id,分组
,60180,1000761,1011,1
,60181,1000762,1021,1
,60182,1000763,1031,2
,60183,1000764,1041,2
,60185,1000768,1301,1
,60186,1000769,1121,1
,60188,1000808,1111,1
,60189,1000809,1121,1
,60191,1000812,1111,1
,60192,1000813,1121,1
,60201,1000821,1011,1
,60202,1000822,1021,1
,60203,1000823,1031,2
,60204,1000824,1041,2
,60206,1000826,1011,1
,60207,1000827,1021,1
,60208,1000828,1031,2
,60209,1000829,1041,2
,60211,1000821,1011,1
,60212,1000822,1021,1
,60213,1000823,1031,2
,60214,1000824,1041,2
,60216,1000841,1011,1
,60217,1000842,1021,1
,60218,1000843,1041,2
,60219,1000844,1031,2
,60221,1000846,1011,1
,60222,1000847,1021,1
,60223,1000848,1031,2
,60224,1000849,1041,2
,60226,1000851,1011,1
,60227,1000852,1021,1
,60228,1000853,1041,2
,60229,1000854,1031,2
,60231,1000856,1011,1
,60232,1000857,1021,1
,60233,1000858,1031,2
,60234,1000859,1041,2
,60236,1000861,1011,1
,60237,1000862,1021,1
,60238,1000863,1031,2
,60239,1000864,1041,2
,60241,1000866,1011,1
,60242,1000867,1021,1
,60243,1000868,1031,2
,60244,1000869,1041,2
,60246,1000821,1011,1
,60247,1000822,1021,1
,60248,1000823,1031,2
,60249,1000824,1041,2
,60251,1000959,1011,1
,60252,1000960,1021,1
,60253,1000961,1031,2
,60254,1000962,1041,2
,60256,1000821,1011,1
,60257,1000822,1021,1
,60258,1000823,1031,2
,60259,1000824,1041,2
,60261,1000969,1011,1
,60262,1000970,1021,1
,60263,1000971,1031,2
,60264,1000972,1041,2
,60266,1000979,1011,1
,60267,1000980,1021,1
,60268,1000981,1031,2
,60269,1000982,1041,2
,60271,1000871,1011,1
,60272,1000872,1021,1
,60273,1000873,1031,2
,60274,1000874,1041,2
,60276,1000876,1011,1
,60277,1000877,1021,1
,60278,1000878,1031,2
,60279,1000879,1041,2
