,required,required,optional,optional,optional,required,optional,optional,optional,optional
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,rune_level,special_effects1,special_effects2,special_effects3,add_skill_lv,item_require_num,gold_requires,only_wear,only_hero
备注,符文id,符文等级,特殊效果ID1,特殊效果ID2,特殊效果ID3,增加技能等级,升级消耗数量,升级消耗金币,唯一镶嵌,专属英雄
,5001012,1,5011,0,0,0,3,50000,1,0
,5001022,2,5012,0,0,0,3,200000,1,0
,5001032,3,5013,0,0,0,3,500000,1,0
,5001042,4,5014,0,0,0,3,1000000,1,0
,5001052,5,5015,0,0,0,0,0,1,0
,5002012,1,5021,0,0,0,3,50000,1,0
,5002022,2,5022,0,0,0,3,200000,1,0
,5002032,3,5023,0,0,0,3,500000,1,0
,5002042,4,5024,0,0,0,3,1000000,1,0
,5002052,5,5025,0,0,0,0,0,1,0
,5003012,1,5031,0,0,0,3,50000,1,0
,5003022,2,5032,0,0,0,3,200000,1,0
,5003032,3,5033,0,0,0,3,500000,1,0
,5003042,4,5034,0,0,0,3,1000000,1,0
,5003052,5,5035,0,0,0,0,0,1,0
,5004012,1,5041,0,0,0,3,50000,1,0
,5004022,2,5042,0,0,0,3,200000,1,0
,5004032,3,5043,0,0,0,3,500000,1,0
,5004042,4,5044,0,0,0,3,1000000,1,0
,5004052,5,5045,0,0,0,0,0,1,0
,5005012,1,5051,0,0,0,3,50000,1,0
,5005022,2,5052,0,0,0,3,200000,1,0
,5005032,3,5053,0,0,0,3,500000,1,0
,5005042,4,5054,0,0,0,3,1000000,1,0
,5005052,5,5055,0,0,0,0,0,1,0
,5006012,1,5061,0,0,0,3,50000,1,0
,5006022,2,5062,0,0,0,3,200000,1,0
,5006032,3,5063,0,0,0,3,500000,1,0
,5006042,4,5064,0,0,0,3,1000000,1,0
,5006052,5,5065,0,0,0,0,0,1,0
,5007012,1,5071,0,0,0,3,50000,1,0
,5007022,2,5072,0,0,0,3,200000,1,0
,5007032,3,5073,0,0,0,3,500000,1,0
,5007042,4,5074,0,0,0,3,1000000,1,0
,5007052,5,5075,0,0,0,0,0,1,0
,5008012,1,5081,0,0,0,3,50000,1,0
,5008022,2,5082,0,0,0,3,200000,1,0
,5008032,3,5083,0,0,0,3,500000,1,0
,5008042,4,5084,0,0,0,3,1000000,1,0
,5008052,5,5085,0,0,0,0,0,1,0
,5009012,1,5091,0,0,0,3,50000,1,0
,5009022,2,5092,0,0,0,3,200000,1,0
,5009032,3,5093,0,0,0,3,500000,1,0
,5009042,4,5094,0,0,0,3,1000000,1,0
,5009052,5,5095,0,0,0,0,0,1,0
,5010012,1,5101,0,0,0,3,50000,1,0
,5010022,2,5102,0,0,0,3,200000,1,0
,5010032,3,5103,0,0,0,3,500000,1,0
,5010042,4,5104,0,0,0,3,1000000,1,0
,5010052,5,5105,0,0,0,0,0,1,0
,5011012,1,5111,0,0,0,3,50000,1,0
,5011022,2,5112,0,0,0,3,200000,1,0
,5011032,3,5113,0,0,0,3,500000,1,0
,5011042,4,5114,0,0,0,3,1000000,1,0
,5011052,5,5115,0,0,0,0,0,1,0
,5012012,1,5121,0,0,0,3,50000,1,0
,5012022,2,5122,0,0,0,3,200000,1,0
,5012032,3,5123,0,0,0,3,500000,1,0
,5012042,4,5124,0,0,0,3,1000000,1,0
,5012052,5,5125,0,0,0,0,0,1,0
,5021013,1,5211,0,0,0,3,50000,1,0
,5021023,2,5212,0,0,0,3,200000,1,0
,5021033,3,5213,0,0,0,3,500000,1,0
,5021043,4,5214,0,0,0,3,1000000,1,0
,5021053,5,5215,0,0,0,0,0,1,0
,5022013,1,5221,0,0,0,3,50000,1,0
,5022023,2,5222,0,0,0,3,200000,1,0
,5022033,3,5223,0,0,0,3,500000,1,0
,5022043,4,5224,0,0,0,3,1000000,1,0
,5022053,5,5225,0,0,0,0,0,1,0
,5023013,1,5231,0,0,0,3,50000,1,0
,5023023,2,5232,0,0,0,3,200000,1,0
,5023033,3,5233,0,0,0,3,500000,1,0
