,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,shop_type,item_type,money_type,price,limit_amount,refresh_time,refresh_type
备注,ID,商城类型,商品ID,货币类型,售价,限购个数,刷新时间,刷新类型
,1,1,2110001,2,15,500,0,1
,2,1,2110002,2,30,200,0,1
,3,1,2110003,2,80,50,0,1
,4,1,2110004,2,200,10,0,1
,5,1,3030013,2,1500,0,0,0
,6,1,3010013,2,50,0,0,0
,7,1,6003003,2,50,0,0,0
,8,1,100003,2,1000,0,0,0
,9,1,3040013,2,80,0,0,0
,10,1,120013,2,110,9,0,2
,11,1,120023,2,110,9,0,2
,12,1,420014,2,300,5,0,2
,13,1,450013,2,180,10,0,2
,14,2,5002012,3,500,0,0,0
,15,2,5010012,3,500,0,0,0
,16,2,5021013,3,1200,0,0,0
,17,2,5022013,3,1200,0,0,0
,18,2,5044014,3,3000,0,0,0
,19,2,5047014,3,3000,0,0,0
,20,2,420013,3,300,0,0,0
,21,2,420014,3,1000,0,0,0
,22,3,441433,4,400,0,0,0
,23,3,441533,4,400,0,0,0
,24,3,442033,4,400,0,0,0
,25,3,440944,4,1000,0,0,0
,26,3,441844,4,1000,0,0,0
,27,3,442144,4,1000,0,0,0
,28,3,421013,4,120,0,0,0
,29,3,421014,4,360,0,0,0
,30,3,421024,4,1000,0,0,0
,36,5,3013013,6,1000,0,0,0
,37,5,3011074,6,1000,0,0,0
,38,5,3013023,6,1000,0,0,0
,39,5,2120013,6,150,0,0,0
,40,5,2120014,6,600,0,0,0
,41,6,3011013,7,1500,0,0,0
,42,6,3011123,7,1500,0,0,0
,43,6,3014014,7,1500,0,0,0
,44,6,3030013,7,3000,0,0,0
,45,6,310010,7,100,0,0,0
,46,6,310020,7,300,0,0,0
,47,6,210000,7,20,0,0,0
,48,7,3012013,9,1000,0,0,0
,49,7,3011054,9,1000,0,0,0
,50,7,3011044,9,1000,0,0,0
,51,7,6003003,9,100,0,0,0
,52,7,203004,9,200,0,0,0
