,required,required,required,optional,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,optional,repeated,required,optional
,uint32,float,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,int32,int32,float,string
,id,scale,fight_scene_id,magic_circle_path,coer_monster,normal_talk,special_talk,attack_talk,time,intervaltime,regionSize,latent_range,follow_range,insight,no_insight_id,corpse_vis,drop1,drop2,drop3,BGM_Star,BGM_Loop,magicScale,defaultAnim
备注,组ID,外形信息,战斗场景,魔法阵路径,核心怪物ID,正常气泡内容id,特殊气泡id,战斗气泡id,显示时长,显示间隔,区域大小,潜伏解除距离,追击距离,洞察力,洞察对象,显示尸体,掉落奖励1,奖励2,奖励3,战斗开始音乐,战斗循环音乐,光环大小,默认动作
,200061,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100001,0,0,5,3,"4,4,4",0,0,0,0,0,0,0,0,0,,1,
,200062,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100000,0,0,5,3,"4,4,4",0,0,0,0,0,0,0,0,0,,1,
,200067,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100004,0,0,5,3,"4,4,4",0,0,1,0,0,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
,200068,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100003,0,0,5,3,"4,4,4",0,0,0,0,0,0,0,0,0,,1,
,200071,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,,1,
,200072,1,24,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100031,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200073,1,24,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,,1,
,200074,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,,1,
,200075,1,24,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100030,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200076,1,24,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
,200077,1,24,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,
,200078,1,24,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,
,200079,1,24,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,
,200082,1,53,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,1000289,100034,0,0,9999,1,,0,0,0,0,0,0,0,0,0,,1,
