,required,repeated,repeated
,uint32,uint32,uint32
,levelID,leftFactionIds,rightFactionIds
备注,关卡ID,我方佣兵ID列表,敌方佣兵ID列表
,13,51004;0;51005;51001;51006;51002,51007;0;51005;51001;51006;51002
,99,200003;10000000;200003;300004;300005;300004,200003;300007;200003;300005;300005;300005
,100,200003;10000000;200003;300004;300005;300004,200003;300007;200003;300005;300005;300005
,15,10000000;51001,3000;3002;3001
,16,10000000;51001,3000;3002;3001
,18,101,80910035;80952008;80952009
,19,101;201;301,102;201;302
,17,51004;0;51004;51001;51002;51001,3201;3202;3200
,101,51004;51004;51004,3101;3102;3100
,102,10000000;51004;51001,3101;3102;3100
,23,51004;0;51005;51001;51006;51002,10014
,24,201;101;103,101
,25,51004;0;51005;51001;51006;51002,10014
,30,51009,10014
,51,102,10014
,52,101,10014
,53,201,10014
,54,104,10014
,56,101;201;301,10014
,57,101;201;301,10014
,58,101;201;301,10014
,59,106,10014
,60,301,10014
,61,101,10014
,62,101,10014
,63,101,10014
,64,101,10014
,65,101,802201
,66,101,802201
,800,101,80052011
,801,101,80110018
,802,101,802201
,803,201,80310026;80310023;80310023
,804,101;201,80410023
,805,201;101,805107
,806,101;201,80610022
,807,101;201,807301
,808,301,80810015
,809,101;10030,80910035;80952008;80952008
,701,701102,701103
,702,702301;702101;702201,70210031
,810,104,9000170
,811,101;201;301,9000171
,812,101;201;301,812107
,813,201;101,81310025;81310011;81310011
,814,101;201,814102
,815,101;201;301,9000451
,816,101;201;301,9001032
,817,112,1000322
,818,9000325,9000326
,819,101;201;301,1000595
,820,9000397,9000398
,821,9000429,9000430
,822,9000441,9000442
,823,302,1001078
,824,102,1001079
,825,101;201,1001080
,826,302;301,1001081
,827,103;401;107,1001082;1001083;1001084
,828,101,1001085
,829,101,1001086
,830,101,1001087
,831,201,1001088
,832,201,1001089
,833,201,1001090
,834,301,1001091
,835,301,1001092
,836,301,1001093
,837,102,1001094
,838,102,1001095
,839,102,1001096
,840,302,1001128
,841,302,1001129
,842,302,1001130
,843,103,1001100
,844,103,1001101
,845,103,1001102
,846,104,1001103
,847,104,1001104
,848,104,1001105
,849,106,1001106
,850,106,1001107
,851,106,1001108
,852,107,1001109
,853,107,1001110
,854,107,1001111
,855,401,1001112
,856,401,1001113
,857,401,1001114
,858,105,1001115
,859,105,1001116
,860,105,1001117
,861,108,1001118
,862,108,1001119
,863,108,1001120
,864,112,1001121
,865,112,1001122
,866,112,1001123
