,required,optional,required,required,required,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,sort,amount_limit,flag,price,awardid,actionid
备注,物品id,名称,物品类型,叠加上限,物品flag,售出金币,奖励id,Action id
,2000054,锤子  橙,2,9999,32,1000,0,0
,2000064,锤子  橙R,2,9999,32,1000,0,0
,2000074,锤子  橙SR,2,9999,32,1000,0,0
,2000084,锤子  橙SSR,2,9999,32,1000,0,0
,2011010,奥兹家族武器,2,9999,32,100,0,0
,2012010,奥兹家族衣服,2,9999,32,100,0,0
,2013010,奥兹家族裤子,2,9999,32,100,0,0
,2014010,奥兹家族鞋子,2,9999,32,100,0,0
,2021010,魔法议会武器,2,9999,32,100,0,0
,2022010,魔法议会衣服,2,9999,32,100,0,0
,2023010,魔法议会裤子,2,9999,32,100,0,0
,2024010,魔法议会鞋子,2,9999,32,100,0,0
,2041010,圣界组织武器,2,9999,32,100,0,0
,2042010,圣界组织衣服,2,9999,32,100,0,0
,2043010,圣界组织裤子,2,9999,32,100,0,0
,2044010,圣界组织鞋子,2,9999,32,100,0,0
,2051010,密林国度武器,2,9999,32,100,0,0
,2052010,密林国度衣服,2,9999,32,100,0,0
,2053010,密林国度裤子,2,9999,32,100,0,0
,2054010,密林国度鞋子,2,9999,32,100,0,0
,2061010,英豪领域武器,2,9999,32,100,0,0
,2062010,英豪领域衣服,2,9999,32,100,0,0
,2063010,英豪领域裤子,2,9999,32,100,0,0
,2064010,英豪领域鞋子,2,9999,32,100,0,0
,2011021,奥兹家族武器,2,9999,32,100,0,0
,2012021,奥兹家族衣服,2,9999,32,100,0,0
,2013021,奥兹家族裤子,2,9999,32,100,0,0
,2014021,奥兹家族鞋子,2,9999,32,100,0,0
,2021021,魔法议会武器,2,9999,32,100,0,0
,2022021,魔法议会衣服,2,9999,32,100,0,0
,2023021,魔法议会裤子,2,9999,32,100,0,0
,2024021,魔法议会鞋子,2,9999,32,100,0,0
,2041021,圣界组织武器,2,9999,32,100,0,0
,2042021,圣界组织衣服,2,9999,32,100,0,0
,2043021,圣界组织裤子,2,9999,32,100,0,0
,2044021,圣界组织鞋子,2,9999,32,100,0,0
,2051021,密林国度武器,2,9999,32,100,0,0
,2052021,密林国度衣服,2,9999,32,100,0,0
,2053021,密林国度裤子,2,9999,32,100,0,0
,2054021,密林国度鞋子,2,9999,32,100,0,0
,2061021,英豪领域武器,2,9999,32,100,0,0
,2062021,英豪领域衣服,2,9999,32,100,0,0
,2063021,英豪领域裤子,2,9999,32,100,0,0
,2064021,英豪领域鞋子,2,9999,32,100,0,0
,2011032,奥兹家族武器,2,9999,32,100,0,0
,2012032,奥兹家族衣服,2,9999,32,100,0,0
,2013032,奥兹家族裤子,2,9999,32,100,0,0
,2014032,奥兹家族鞋子,2,9999,32,100,0,0
,2021032,魔法议会武器,2,9999,32,100,0,0
,2022032,魔法议会衣服,2,9999,32,100,0,0
,2023032,魔法议会裤子,2,9999,32,100,0,0
,2024032,魔法议会鞋子,2,9999,32,100,0,0
,2041032,圣界组织武器,2,9999,32,100,0,0
,2042032,圣界组织衣服,2,9999,32,100,0,0
,2043032,圣界组织裤子,2,9999,32,100,0,0
,2044032,圣界组织鞋子,2,9999,32,100,0,0
,2051032,密林国度武器,2,9999,32,100,0,0
,2052032,密林国度衣服,2,9999,32,100,0,0
,2053032,密林国度裤子,2,9999,32,100,0,0
,2054032,密林国度鞋子,2,9999,32,100,0,0
,2061032,英豪领域武器,2,9999,32,100,0,0
,2062032,英豪领域衣服,2,9999,32,100,0,0
,2063032,英豪领域裤子,2,9999,32,100,0,0
,2064032,英豪领域鞋子,2,9999,32,100,0,0
,2011043,奥兹家族武器,2,9999,32,100,0,0
,2012043,奥兹家族衣服,2,9999,32,100,0,0
,2013043,奥兹家族裤子,2,9999,32,100,0,0
,2014043,奥兹家族鞋子,2,9999,32,100,0,0
,2021043,魔法议会武器,2,9999,32,100,0,0
,2022043,魔法议会衣服,2,9999,32,100,0,0
,2023043,魔法议会裤子,2,9999,32,100,0,0
,2024043,魔法议会鞋子,2,9999,32,100,0,0
