,required,optional,optional,optional
,uint32,string,uint64,uint32
,id,path,approach,red_flag
备注,物品资源Id,图标路径,获取方式类型,是否一直显示红点 1：是 0：否
,120033,Textures/Atlas/Dyn/Item/120023.png,0,0
,204010,Textures/Atlas/Dyn/Item/5000210.png,0,0
,204020,Textures/Atlas/Dyn/Item/5000210.png,0,0
,204030,Textures/Atlas/Dyn/Item/5000210.png,0,0
,2000054,Textures/Atlas/Dyn/Item/7000041.png,0,0
,2000064,Textures/Atlas/Dyn/Item/7000041.png,0,0
,2000074,Textures/Atlas/Dyn/Item/7000041.png,0,0
,2000084,Textures/Atlas/Dyn/Item/7000041.png,0,0
,2011010,Textures/Atlas/Dyn/Item/2130111.png,0,0
,2012010,Textures/Atlas/Dyn/Item/2130121.png,0,0
,2013010,Textures/Atlas/Dyn/Item/2130131.png,0,0
,2014010,Textures/Atlas/Dyn/Item/2130141.png,0,0
,2021010,Textures/Atlas/Dyn/Item/2130111.png,0,0
,2022010,Textures/Atlas/Dyn/Item/2130121.png,0,0
,2023010,Textures/Atlas/Dyn/Item/2130131.png,0,0
,2024010,Textures/Atlas/Dyn/Item/2130141.png,0,0
,2041010,Textures/Atlas/Dyn/Item/2130111.png,0,0
,2042010,Textures/Atlas/Dyn/Item/2130121.png,0,0
,2043010,Textures/Atlas/Dyn/Item/2130131.png,0,0
,2044010,Textures/Atlas/Dyn/Item/2130141.png,0,0
,2051010,Textures/Atlas/Dyn/Item/2130111.png,0,0
,2052010,Textures/Atlas/Dyn/Item/2130121.png,0,0
,2053010,Textures/Atlas/Dyn/Item/2130131.png,0,0
,2054010,Textures/Atlas/Dyn/Item/2130141.png,0,0
,2061010,Textures/Atlas/Dyn/Item/2130111.png,0,0
,2062010,Textures/Atlas/Dyn/Item/2130121.png,0,0
,2063010,Textures/Atlas/Dyn/Item/2130131.png,0,0
,2064010,Textures/Atlas/Dyn/Item/2130141.png,0,0
,2011021,Textures/Atlas/Dyn/Item/2130111.png,0,0
,2012021,Textures/Atlas/Dyn/Item/2130121.png,0,0
,2013021,Textures/Atlas/Dyn/Item/2130131.png,0,0
,2014021,Textures/Atlas/Dyn/Item/2130141.png,0,0
,2021021,Textures/Atlas/Dyn/Item/2130111.png,0,0
,2022021,Textures/Atlas/Dyn/Item/2130121.png,0,0
,2023021,Textures/Atlas/Dyn/Item/2130131.png,0,0
,2024021,Textures/Atlas/Dyn/Item/2130141.png,0,0
,2041021,Textures/Atlas/Dyn/Item/2130111.png,0,0
,2042021,Textures/Atlas/Dyn/Item/2130121.png,0,0
,2043021,Textures/Atlas/Dyn/Item/2130131.png,0,0
,2044021,Textures/Atlas/Dyn/Item/2130141.png,0,0
