,required,required,required,optional,optional
,uint32,uint32,uint32,uint32,uint32
英雄进阶,id,level,need_exp,ap_point,ap_reward
备注,id,战队等级,升级经验,体力值上限,奖励体力值
,1,1,100,64,0
,2,2,100,66,2
,3,3,200,68,2
,4,4,200,70,2
,5,5,400,72,2
,6,6,400,74,2
,7,7,800,76,2
,8,8,800,78,2
,9,9,1200,80,2
,10,10,1600,82,2
,11,11,2000,84,2
,12,12,2400,86,2
,13,13,3000,88,2
,14,14,3500,90,2
,15,15,4500,92,2
,16,16,5500,94,2
,17,17,6500,96,2
,18,18,7500,98,2
,19,19,9000,100,50
,20,20,9500,102,50
,21,21,11500,104,50
,22,22,13500,106,50
,23,23,16000,108,108
,24,24,18600,110,110
,25,25,22150,111,111
,26,26,26800,112,112
,27,27,31200,113,113
,28,28,38600,114,114
,29,29,41600,115,115
,30,30,45000,116,116
,31,31,53800,117,117
,32,32,72000,118,118
,33,33,78500,119,119
,34,34,87500,120,120
,35,35,96900,120,120
,36,36,101900,120,120
,37,37,106900,121,121
,38,38,111900,121,121
,39,39,116900,121,121
,40,40,137800,122,122
,41,41,154200,122,122
,42,42,168800,122,122
,43,43,183800,123,123
,44,44,199400,123,123
,45,45,215600,123,123
,46,46,233900,123,123
,47,47,259600,123,123
,48,48,289200,124,124
,49,49,319800,124,124
,50,50,354600,124,124
,51,51,390500,124,124
,52,52,439400,124,124
,53,53,485700,125,125
,54,54,533500,125,125
,55,55,586300,125,125
,56,56,644200,125,125
,57,57,703900,125,125
,58,58,769000,126,126
,59,59,839800,126,126
,60,60,916500,126,126
,61,61,999100,126,126
,62,62,1088100,126,126
,63,63,1179300,127,127
,64,64,1277100,127,127
,65,65,1381500,127,127
,66,66,1492900,127,127
,67,67,1611300,127,127
,68,68,1737000,128,128
,69,69,1870200,128,128
,70,70,2015600,128,128
,71,71,2169000,128,128
,72,72,2330600,128,128
,73,73,2500600,129,129
,74,74,2683900,129,129
,75,75,2876200,129,129
,76,76,3077600,129,129
,77,77,3293200,129,129
,78,78,3518500,130,130
,79,79,3758800,130,130
,80,80,0,130,130
