,id,name,des
备注,本命卡id+天赋等级,天赋技能名称,描述
,40441,堕守,整场战斗1次，受到的奥义技伤害降低<color=#FFA517>40%</color>
,40442,堕守,整场战斗1次，受到的奥义技伤害降低<color=#FFA517>60%</color>
,40443,堕守,整场战斗1次，受到的奥义技伤害降低<color=#FFA517>80%</color>
,40941,霜运,使用辅助技有<color=#FFA517>50%</color>几率恢复等同最大生命值5%的生命值与300点奥义值
,40942,霜运,使用辅助技有<color=#FFA517>75%</color>几率恢复等同最大生命值5%的生命值与300点奥义值
,40943,霜运,使用辅助技有<color=#FFA517>100%</color>几率恢复等同最大生命值5%的生命值与300点奥义值
,41031,猛毒,使用辅助技时，对敌方施加腐化状态，持续5轮，伤害等同角色<color=#FFA517>20%</color>攻击力
,41032,猛毒,使用辅助技时，对敌方施加腐化状态，持续5轮，伤害等同角色<color=#FFA517>30%</color>攻击力
,41033,猛毒,使用辅助技时，对敌方施加腐化状态，持续5轮，伤害等同角色<color=#FFA517>40%</color>攻击力
,41041,炽炼,我方攻击开始时，获得炽炼状态，伤害提升<color=#FFA517>50%</color>，持续1招
,41042,炽炼,我方攻击开始时，获得炽炼状态，伤害提升<color=#FFA517>75%</color>，持续1招
,41043,炽炼,我方攻击开始时，获得炽炼状态，伤害提升<color=#FFA517>100%</color>，持续1招
,41141,汐引,敌方每拥有1种负面状态，我方造成的伤害提升<color=#FFA517>8%</color>
,41142,汐引,敌方每拥有1种负面状态，我方造成的伤害提升<color=#FFA517>12%</color>
,41143,汐引,敌方每拥有1种负面状态，我方造成的伤害提升<color=#FFA517>16%</color>
,41441,终刻,整场战斗1次，2位队友战败时，施放奥义技时有<color=#FFA517>15%</color>几率复活1名队友
,41442,终刻,整场战斗1次，2位队友战败时，施放奥义技时有<color=#FFA517>22%</color>几率复活1名队友
,41443,终刻,整场战斗1次，2位队友战败时，施放奥义技时有<color=#FFA517>29%</color>几率复活1名队友
,41941,愈骨,在场上受到治愈效果时，恢复<color=#FFA517>80</color>点奥义值
,41942,愈骨,在场上受到治愈效果时，恢复<color=#FFA517>120</color>点奥义值
