,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,type,data1,data2,data3,itemtype_ID1,itemtype_num1,itemtype_ID2,itemtype_num2,itemtype_ID3,itemtype_num3,itemtype_ID4,itemtype_num4
备注,流水ID,活动类型,表示奖励的参数,表示奖励的参数,表示奖励的参数,奖励物品1ID,奖励物品1数量,奖励物品2ID,奖励物品2数量,奖励物品3ID,奖励物品3数量,奖励物品4ID,奖励物品4数量
,10338,3,24,0,0,120023,1,15,500,2000074,1,0,0
,10339,3,25,0,0,120023,3,15,500,1,1000,0,0
,10340,3,31,0,0,120023,1,15,500,3030013,2,0,0
,10341,3,32,0,0,120023,1,15,500,3060030,3,0,0
,10342,3,33,0,0,120023,1,15,500,31,150,0,0
,10343,3,34,0,0,120023,1,15,500,2000074,1,0,0
,10344,3,35,0,0,120023,3,15,500,1,1000,0,0
,10345,3,41,0,0,120023,1,15,500,3030013,2,0,0
,10346,3,42,0,0,120023,1,15,500,3060030,3,0,0
,10347,3,43,0,0,120023,1,15,500,31,150,0,0
,10348,3,44,0,0,120023,1,15,500,2000074,1,0,0
,10349,3,45,0,0,120023,3,15,500,1,1000,0,0
,10350,3,51,0,0,120023,1,15,500,3030013,2,0,0
,10351,3,52,0,0,120023,1,15,500,3060030,3,0,0
,10352,3,53,0,0,120023,1,15,500,31,150,0,0
,10353,3,54,0,0,120023,1,15,500,2000074,1,0,0
,10354,3,55,0,0,120023,3,15,500,1,1000,0,0
,10355,3,61,0,0,120023,1,15,500,3030013,2,0,0
,10356,3,62,0,0,120023,1,15,500,3060030,3,0,0
,10357,3,63,0,0,120023,1,15,500,31,150,0,0
,10358,3,64,0,0,120023,1,15,500,2000074,1,0,0
,10359,3,65,0,0,120023,3,15,500,1,1000,0,0
