,required,repeated,repeated,repeated,required,required
,uint32,uint32,uint32,uint32,uint32,uint32
,id,npc_ids,text_ids,text_modes,show_time,wait_time
备注,对话id,地图刷新id序列组,文本id序列组,文本背景序列组,显示时长,等待时间
,1321,,10341,,5,5
,1322,,10342,,5,5
,1323,,10343,,5,5
,1324,,10344,,5,5
,1325,,10345,,5,5
,1326,,10346,,5,5
,1327,,10347,,5,5
,1328,,10348,,5,5
,1329,,10349,,5,5
,1330,,10350,,5,5
,1331,,10351,,5,5
,1332,,10352,,5,5
,1333,,10353,,5,5
,1334,,10354,,5,5
,1335,,10355,,5,5
,1336,,10356,,5,5
,1337,,10357,,5,5
,1338,,10358,,5,5
,1339,,10359,,5,5
,1340,,10360,,5,5
,1341,,10361,,5,5
,1342,,10362,,5,5
,1343,,10363,,5,5
,1344,,10364,,5,5
,1345,,10365,,5,5
,1346,,10366,,5,5
,1347,,10367,,5,5
,1348,,10368,,5,5
,1349,,10369,,5,5
,1350,,10370,,5,5
,1351,,10371,,5,5
,1352,,10372,,5,5
,1353,,10373,,5,5
,1354,,10374,,5,5
,1355,,10375,,5,5
,1356,,10376,,5,5
,1357,,10377,,5,5
,1358,,10378,,5,5
,1359,,10379,,5,5
,1360,,10380,,5,5
,1361,,10381,,5,5
,1362,,10382,,5,5
,1363,,10383,,5,5
,1364,,10384,,5,5
,1365,,10385,,5,5
,1366,,10386,,5,5
,1367,,10387,,5,5
,1368,,10388,,5,5
,1369,,10389,,5,5
,1370,,10390,,5,5
,1371,,10391,,5,5
,1372,,10392,,5,5
,1373,,10393,,5,5
,1374,,10394,,5,5
,1375,,10395,,5,5
,1376,,10396,,5,5
,1377,,10397,,5,5
,1378,,10398,,5,5
,1379,,10399,,5,5
,1380,,10400,,5,5
,1381,,10401,,5,5
,1382,,10402,,5,5
,1383,,10403,,5,5
,1384,,10404,,5,5
,1385,,10405,,5,5
,1386,,10406,,5,5
,1387,,10407,,5,5
,1388,,10408,,5,5
,1389,,10409,,5,5
,1390,,10410,,5,5
,1391,,10411,,5,5
,1392,,10412,,5,5
,1393,,10413,,5,5
,1394,,10414,,5,5
,1395,,10415,,5,5
,1396,,10416,,5,5
,1397,,10417,,5,5
,1398,,10418,,5,5
,1399,,10419,,5,5
,1400,,10420,,5,5
,1401,,10421,,5,5
,1402,,10422,,5,5
,1403,,10423,,5,5
,1404,,10424,,5,5
,1405,,10425,,5,5
,1406,,10426,,5,5
,1407,,10427,,5,5
,1408,,10428,,5,5
,1409,,10429,,5,5
,1410,,10430,,5,5
,1411,,10431,,5,5
,1412,,10432,,5,5
,1413,,10433,,5,5
,1414,,10434,,5,5
,1415,,10435,,5,5
,1416,,10436,,5,5
,1417,,10437,,5,5
,1418,,10438,,5,5
,1419,,10439,,5,5
,1420,,10440,,5,5
,1421,,10441,,5,5
,1422,,10442,,5,5
,1423,,10443,,5,5
,1424,,10444,,5,5
,1425,,10445,,5,5
,1426,,10446,,5,5
,1427,,10447,,5,5
,1428,,10448,,5,5
,1429,,10449,,5,5
,1430,,10450,,5,5
