,required,required,required
,uint32,uint32,uint32
,id,lookface,hint_vis
备注,怪物ID,模型ID,0不可见1可
,1000836,10040,1
,1000837,10044,1
,1000838,10010,1
,1000839,52023,1
,1000840,52011,1
,1000846,10024,1
,1000847,10033,1
,1000848,10050,1
,1000849,10049,1
,1000850,103,1
,1000851,10026,1
,1000852,52023,1
,1000853,10050,1
,1000854,52024,1
,1000855,52022,1
,1000856,10050,1
,1000858,10048,1
,1000859,52021,1
,1000860,106,1
,1000861,10007,1
,1000862,10041,1
,1000863,10044,1
,1000864,10051,1
,1000865,10022,1
,1000866,52020,1
,1000867,52008,1
,1000868,10048,1
,1000869,52001,1
,1000870,10021,1
,1000871,10023,1
,1000872,10008,1
,1000873,10012,1
,1000874,10014,1
,1000875,9004,1
,1000876,10007,1
,1000877,10041,1
,1000878,10044,1
,1000879,52016,1
,1000880,10031,1
,1000959,10054,1
,1000960,10058,1
,1000961,10013,1
,1000962,10040,1
,1000963,10038,1
,1000969,10045,1
,1000970,10046,1
,1000971,10016,1
,1000972,8000,1
,1000973,52022,1
,1000974,10054,1
,1000975,10058,1
,1000976,10013,1
,1000977,10045,1
,1000978,10036,1
,1000979,10021,1
,1000980,10022,1
,1000981,10002,1
,1000982,10032,1
,1000983,111,1
,1001701,10010,1
,1001702,10053,1
,1001703,10042,1
,1001704,5004,1
,1001705,10052,1
,1001706,52023,1
,1001707,10052,1
,1001708,10015,1
,1001709,52018,1
,1001711,52012,1
,1001712,5004,1
,1001713,10013,1
,1001714,52024,1
,1001715,10057,1
,1001716,10023,1
,1001717,52014,1
,1001718,52018,1
,1001719,10014,1
,1001720,52010,1
,1001721,10024,1
,1001722,10033,1
,1001723,10050,1
,1001724,10049,1
,1001725,401,1
,1001726,10040,1
,1001727,10020,1
,1001728,10010,1
,1001729,52023,1
,1001730,10033,1
,1001731,10045,1
,1001732,10046,1
,1001733,10016,1
,1001734,8000,1
,1001735,10038,1
,1001736,10007,1
,1001737,10041,1
,1001738,10020,1
,1001739,10051,1
,1001740,10013,1
,1001741,10054,1
,1001742,10058,1
,1001743,10013,1
,1001744,10040,1
,1001745,52013,1
,1001746,10050,1
,1001748,10048,1
,1001749,52021,1
,1001750,107,1
