,required,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required
,uint32,uint32,int32,int32,int32,int32,int32,string,int32,string,int32,string,uint32,int32,int32,string,uint32,uint32
,Task_id,NPC_id,Type,SubType,areaId,Quality,Starttype,Data1,Endtype,Data2,effect,missionMap,escortLookface,talkDur,awardGroupId,QuestionMark,AutoTask,Typemask
备注,任务id,所属NPCID,任务类型,子类型（采集任务1）,所属区域ID,品质,进行中点击追踪面板触发的效果,对应数据,完成时点击追踪面板触发的功,对应数据,接受和完成特效,护送任务地图,护送Npc模型,喊话间隔时间,任务奖组Id,NPC/Monster头顶任务问号或者路标问号,自动任务,图标类型
,60331,0,7,0,0,0,3,1 3153 21014,1,,1,0,0,0,0,0,0,0
,60332,0,7,0,0,0,3,1 3153 21015,1,,1,0,0,0,0,0,0,0
,60333,0,7,0,0,0,3,1 3153 21016,1,,1,0,0,0,0,0,0,0
,70219,0,9,0,0,0,1,,1,,0,0,0,0,0,0,0,0
,70220,0,9,0,0,0,3,1 2002 20947,1,,0,0,0,0,0,20947,0,0
,70221,0,9,0,0,0,3,"0 2002 -19.96,1.93,11.69",1,,0,0,0,0,0,0,0,0
,70222,0,9,0,0,0,3,1 2002 20947,1,,0,0,0,0,0,20947,0,0
,70223,0,9,0,0,0,3,1 1000 20228,1,,0,0,0,0,0,20228,0,0
,70224,0,9,0,0,0,3,1 1000 30658,1,,0,0,0,0,0,0,0,0
,70225,0,9,0,0,0,3,1 2001 20949,1,,0,0,0,0,0,20949,0,0
,70226,0,9,0,0,0,3,1 2001 20949,1,,0,0,0,0,0,20949,0,0
,70227,0,9,0,0,0,3,1 2001 20948,1,,1,0,0,0,0,20948,0,0
