,id,name,desc
备注,id,名字,描述
商店——军团商店,5,贩售商城·公会,可在“贩售商城·公会”中购买
商店——梦境商店,6,贩售商城·梦境,可在“贩售商城·梦境”中购买
商店——勇者商铺,7,贩售商城·勇者,可在“贩售商城·勇者”中购买
每日任务——委托,8,自律联盟·委托,可通过完成“委托”任务获得
探索层宝箱,9,探索层,可通过开启“探索层宝箱”获得
每日任务——巡查,10,自律联盟·巡查,可通过完成“巡查”任务获得
每日任务——悬赏,11,自律联盟·悬赏,可通过完成“悬赏”任务获得
好友宝箱,12,好友宝箱,可通过开启“好友宝箱”获得
讨伐领主,13,讨伐领主,可通过“讨伐领主”获得
多人副本——卡诺萨城,14,多人副本·卡诺萨城,可在“卡诺萨城”多人副本中获得
多人副本——树心城,15,多人副本·树心城,可在“树心城”多人副本中获得
单人副本——经验副本,16,抵御魔族·经验,可通过“抵御魔族·经验”获得
单人副本——金钱副本,17,区域探索·金币,可通过“区域探索·金币”获得
单人副本——材料副本,18,区域探索·物资,可通过“区域探索·物资”获得
罗兰钻速递,19,速递·艾恩速达,可通过“艾恩速达”获得
友情速递,20,速递·友达投递,可通过“友达投递”获得
军团——军团悬赏,21,帝国悬赏,可通过“帝国悬赏”获得
军团——军团捐献,22,公会募捐,可通过“公会募捐”获得
黯月事件簿,23,雾海的危机,可通过“雾海的危机”获得
骑士考核,24,帝国红蓝特典,可通过“帝国红蓝特典”获得
探索层,25,探索层,可通过击败探索层野外怪物获得
预约测试,26,预约活动,通过参与预约测试活动获得
军团——公会红包,27,公会礼袋,可通过公会礼袋获得
充值,28,充值活动,可通过“充值活动”获得
主线任务,29,主线任务,可通过“主线任务”获得
支线任务,30,支线任务,可通过“支线任务”获得
温丽梦境,31,温丽的梦境,可通过“温丽的梦境”获得
羁绊,32,羁绊,可通过提升“羁绊”获得
多人副本——魔族之心,33,多人副本·魔族之心,可在“魔族之心”多人副本中获得
分解本命,34,分解本命,可通过“分解本命”获得
王牌通缉活动,35,王牌通缉,可在“王牌通缉”中获得
圣界来袭活动,36,圣界来袭,可在“圣界来袭”中获得
每日速递,37,每日速递,可在“每日速递”中获得
签到,38,每日签到,可在“每日签到”中获得
每日必做,39,每日课程,可通过完成“每日课程”获得
新手7日目标活动,40,骑士转正考核,可在“骑士转正考核”中获得
新手14日签到活动,41,新人登入福利,可在“新人登入福利”中获得
14日循环活动,42,古加尼尔之息,可在“古加尼尔之息”中获得
装备合成,43,晶尘合成,可通过“晶尘合成”获得
黄金怪活动,44,黄金怪盗之约,可在“黄金怪盗之约”中获得
通用途径,45,可从部分玩法或活动中获得,可从部分玩法或活动中获得
符文合成,46,符文合成,可通过“符文合成”获得
普通副本1,47,饿狼巢穴,可在“饿狼巢穴”副本中获得
普通副本2,48,玫瑰团驻地,可在“玫瑰团驻地”副本中获得
普通副本3,49,哥布林巢穴,可在“哥布林巢穴”副本中获得
普通副本4,50,诡异的左相府,可在“诡异的左相府”副本中获得
普通副本5,51,露西蒂尼之墓,可在“露西蒂尼之墓”副本中获得
普通副本6,52,哀嚎神殿,可在“哀嚎神殿”副本中获得
普通副本7,53,魔族之心,可在“魔族之心”副本中获得
普通副本8,54,荒原古堡,可在“荒原古堡”副本中获得
普通副本9,55,沙海虫巢,可在“沙海虫巢”副本中获得
普通副本10,56,黑锤塞垒,可在“黑锤塞垒”副本中获得
普通副本11,57,银母矿洞,可在“银母矿洞”副本中获得
普通副本12,58,凋零之地,可在“凋零之地”副本中获得
普通副本13,59,树心城,可在“树心城”副本中获得
普通副本14,60,失事飞船,可在“失事飞船”副本中获得
普通副本15,61,枭鹰矿洞,可在“枭鹰矿洞”副本中获得
普通副本16,62,枭鹰邦域,可在“枭鹰邦域”副本中获得
普通副本17,63,神迹实验室,可在“神迹实验室”副本中获得
