,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,3138001,烁金宝箱,3138,1,40291,0,1,0,0,0,0,0,"66.71,-9.29,-0.11",139.08,1
,3138002,烁金宝箱,3138,1,40292,0,1,0,0,0,0,0,"43.59,-9.046,-13.296",-9.38,1
,3138003,烁金宝箱,3138,1,40293,0,1,0,0,0,0,0,"41.84,-9.04,-1.74",170.62,1
,3138004,烁金宝箱,3138,1,40294,0,1,0,0,0,0,0,"34.16,-7.87,-8.6",81.49,1
,3138005,烁金宝箱,3138,1,40295,0,1,0,0,0,0,0,"90.89,-9.18,27.65",274.08,1
,3138006,圣晶宝箱,3138,1,40296,0,1,0,0,0,0,0,"88.25,-7.99,44.301",-165.96,1.5
,3138007,异化强化体,3138,2,200682,1,1,0,0,0,0,72,,0,1
,3138008,异化强化体,3138,2,200683,2,1,0,0,0,0,72,,0,1
,3138009,堕魔法师,3138,2,200684,3,1,0,0,0,0,72,,0,1
,3138010,狂化者布拉依,3138,2,200685,4,1,0,0,0,0,72,,0,1
,3138011,失落改造人,3138,2,200686,5,1,0,0,0,0,72,,0,1
,3138012,失落改造人,3138,2,200687,6,1,0,0,0,0,72,,0,1
