,required,repeated,repeated,required
,uint32,uint32,uint32,uint32
,id,dialog_ids,chat_ids,replay
备注,地图刷新表id,对话 id组,冒泡聊天id组,触发冒泡间隔
,3096001,,1273,10
,3096002,,1274,10
,3096003,,1275,10
,3096004,,1276,10
,3096005,,1277,10
,3098001,,1268,10
,3098002,,1269,10
,3098003,,1270,10
,3098004,,1271,10
,3098005,,1272,10
,3099003,,1266,10
,3099004,,1265,10
,3099005,,1267,10
,3099011,,1264,10
,3099012,,1263,10
,3101001,,1278,10
,3101002,,1279,10
,3101003,,1280,10
,3101004,,1281,10
,3101005,,1282,10
,3102006,,1283,10
,3102007,,1284,10
,3102008,,1285,10
,3102009,,1286,10
,3102010,,1287,10
,3105001,,1288,10
,3105002,,1289,10
,3105003,,1290,10
,3105004,,1291,10
,3105005,,1292,10
,3111001,,1293,10
,3111002,,1294,10
,3111003,,1295,10
,3111004,,1296,10
,3111005,,1297,10
