,required,repeated,repeated,repeated,required,required
,uint32,uint32,uint32,uint32,uint32,uint32
,id,npc_ids,text_ids,text_modes,show_time,wait_time
备注,对话id,地图刷新id序列组,文本id序列组,文本背景序列组,显示时长,等待时间
,1263,,10285,,5,5
,1264,,10286,,5,5
,1265,,10287,,5,5
,1266,,10288,,5,5
,1267,,10289,,5,5
,1268,,10290,,5,5
,1269,,10291,,5,5
,1270,,10292,,5,5
,1271,,10293,,5,5
,1272,,10294,,5,5
,1273,,10295,,5,5
,1274,,10296,,5,5
,1275,,10297,,5,5
,1276,,10298,,5,5
,1277,,10299,,5,5
,1278,,10300,,5,5
,1279,,10301,,5,5
,1280,,10302,,5,5
,1281,,10303,,5,5
,1282,,10304,,5,5
,1283,,10305,,5,5
,1284,,10306,,5,5
,1285,,10307,,5,5
,1286,,10308,,5,5
,1287,,10309,,5,5
,1288,,10310,,5,5
,1289,,10311,,5,5
,1290,,10312,,5,5
,1291,,10313,,5,5
,1292,,10314,,5,5
,1293,,10315,,5,5
,1294,,10316,,5,5
,1295,,10317,,5,5
,1296,,10318,,5,5
,1297,,10319,,5,5
