,required,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,int32,int32,int32,int32,int32,string,int32,string,int32,string,uint32,int32,int32,string,uint32,uint32,uint32,uint32,string
,Task_id,NPC_id,Type,SubType,areaId,Quality,Starttype,Data1,Endtype,Data2,effect,missionMap,escortLookface,talkDur,awardGroupId,QuestionMark,AutoTask,Typemask,countdown_show,countdown_type,countdown_icon
备注,任务id,所属NPCID,任务类型,子类型（采集任务1）,所属区域ID,品质,进行中点击追踪面板触发的效果,对应数据,完成时点击追踪面板触发的功,对应数据,接受和完成特效,护送任务地图,护送Npc模型,喊话间隔时间,任务奖组Id,NPC/Monster头顶任务问号或者路标问号,自动任务,图标类型,倒计时限时,是否显示倒计时,倒计时图标路径
,20822,0,5,0,200503,1,3,2 2005 900447,1,,2,0,0,0,104,1 2 2005 900447,0,201,0,0,
,20823,0,5,0,200503,2,3,2 2005 900447,1,,2,0,0,0,204,1 2 2005 900447,0,201,0,0,
,20824,0,5,0,200503,3,3,2 2005 900447,1,,2,0,0,0,304,1 2 2005 900447,0,201,0,0,
,20825,0,5,0,200503,4,3,2 2005 900447,1,,2,0,0,0,404,1 2 2005 900447,0,201,0,0,
,20826,0,5,0,200503,5,3,2 2005 900447,1,,2,0,0,0,504,1 2 2005 900447,0,201,0,0,
,20827,0,5,0,200503,1,3,2 2005 900449,1,,2,0,0,0,106,1 2 2005 900449,0,201,0,0,
,20828,0,5,0,200503,2,3,2 2005 900449,1,,2,0,0,0,206,1 2 2005 900449,0,201,0,0,
,20829,0,5,0,200503,3,3,2 2005 900449,1,,2,0,0,0,306,1 2 2005 900449,0,201,0,0,
,20830,0,5,0,200503,4,3,2 2005 900449,1,,2,0,0,0,406,1 2 2005 900449,0,201,0,0,
,20831,0,5,0,200503,5,3,2 2005 900449,1,,2,0,0,0,506,1 2 2005 900449,0,201,0,0,
,20832,0,5,0,200503,1,3,1 2005 60324,1,,2,0,0,0,104,,0,201,0,0,
,20833,0,5,0,200503,2,3,1 2005 60324,1,,2,0,0,0,204,,0,201,0,0,
,20834,0,5,0,200503,3,3,1 2005 60324,1,,2,0,0,0,304,,0,201,0,0,
,20835,0,5,0,200503,4,3,1 2005 60324,1,,2,0,0,0,404,,0,201,0,0,
,20836,0,5,0,200503,5,3,1 2005 60324,1,,2,0,0,0,505,,0,201,0,0,
,20837,0,5,0,200503,1,3,1 2005 30811,1,,2,0,0,0,103,,0,204,0,0,
,20838,0,5,0,200503,2,3,1 2005 30811,1,,2,0,0,0,203,,0,204,0,0,
,20839,0,5,0,200503,3,3,1 2005 30811,1,,2,0,0,0,303,,0,204,0,0,
,20840,0,5,0,200503,4,3,1 2005 30811,1,,2,0,0,0,403,,0,204,0,0,
,20841,0,5,0,200503,5,3,1 2005 30811,1,,2,0,0,0,503,,0,204,0,0,
