,required,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,int32,int32,int32,int32,int32,string,int32,string,int32,string,uint32,int32,int32,string,uint32,uint32,uint32,uint32,string
,Task_id,NPC_id,Type,SubType,areaId,Quality,Starttype,Data1,Endtype,Data2,effect,missionMap,escortLookface,talkDur,awardGroupId,QuestionMark,AutoTask,Typemask,countdown_show,countdown_type,countdown_icon
备注,任务id,所属NPCID,任务类型,子类型（采集任务1）,所属区域ID,品质,进行中点击追踪面板触发的效果,对应数据,完成时点击追踪面板触发的功,对应数据,接受和完成特效,护送任务地图,护送Npc模型,喊话间隔时间,任务奖组Id,NPC/Monster头顶任务问号或者路标问号,自动任务,图标类型,倒计时限时,是否显示倒计时,倒计时图标路径
,20842,0,5,0,200503,1,3,1 2005 60325,1,,2,0,0,0,105,60325,0,204,0,0,
,20843,0,5,0,200503,2,3,1 2005 60325,1,,2,0,0,0,205,60325,0,204,0,0,
,20844,0,5,0,200503,3,3,1 2005 60325,1,,2,0,0,0,305,60325,0,204,0,0,
,20845,0,5,0,200503,4,3,1 2005 60325,1,,2,0,0,0,405,60325,0,204,0,0,
,20846,0,5,0,200503,5,3,1 2005 60325,1,,2,0,0,0,505,60325,0,204,0,0,
,20847,0,5,0,200503,1,3,1 2005 60326,1,,2,0,0,0,101,60326,0,204,0,0,
,20848,0,5,0,200503,2,3,1 2005 60326,1,,2,0,0,0,201,60326,0,204,0,0,
,20849,0,5,0,200503,3,3,1 2005 60326,1,,2,0,0,0,301,60326,0,204,0,0,
,20850,0,5,0,200503,4,3,1 2005 60326,1,,2,0,0,0,401,60326,0,204,0,0,
,20851,0,5,0,200503,5,3,1 2005 60326,1,,2,0,0,0,501,60326,0,204,0,0,
,20852,0,5,0,200503,1,3,2 2005 900446,1,,2,0,0,0,102,900446,0,202,0,0,
,20853,0,5,0,200503,2,3,2 2005 900446,1,,2,0,0,0,202,900446,0,202,0,0,
,20854,0,5,0,200503,3,3,2 2005 900446,1,,2,0,0,0,302,900446,0,202,0,0,
,20855,0,5,0,200503,4,3,2 2005 900446,1,,2,0,0,0,402,900446,0,202,0,0,
,20856,0,5,0,200503,5,3,2 2005 900446,1,,2,0,0,0,502,900446,0,202,0,0,
,20857,0,5,0,200503,1,3,2 2005 900447,1,,2,0,0,0,103,900447,0,202,0,0,
,20858,0,5,0,200503,2,3,2 2005 900447,1,,2,0,0,0,203,900447,0,202,0,0,
,20859,0,5,0,200503,3,3,2 2005 900447,1,,2,0,0,0,303,900447,0,202,0,0,
,20860,0,5,0,200503,4,3,2 2005 900447,1,,2,0,0,0,403,900447,0,202,0,0,
,20861,0,5,0,200503,5,3,2 2005 900447,1,,2,0,0,0,503,900447,0,202,0,0,
,20862,0,5,0,200503,1,3,2 2005 900448,1,,2,0,0,0,104,900448,0,202,0,0,
,20863,0,5,0,200503,2,3,2 2005 900448,1,,2,0,0,0,204,900448,0,202,0,0,
,20864,0,5,0,200503,3,3,2 2005 900448,1,,2,0,0,0,304,900448,0,202,0,0,
,20865,0,5,0,200503,4,3,2 2005 900448,1,,2,0,0,0,404,900448,0,202,0,0,
,20866,0,5,0,200503,5,3,2 2005 900448,1,,2,0,0,0,504,900448,0,202,0,0,
,20867,0,5,0,200503,1,3,2 2005 900449,1,,2,0,0,0,106,900449,0,202,0,0,
,20868,0,5,0,200503,2,3,2 2005 900449,1,,2,0,0,0,206,900449,0,202,0,0,
,20869,0,5,0,200503,3,3,2 2005 900449,1,,2,0,0,0,306,900449,0,202,0,0,
,20870,0,5,0,200503,4,3,2 2005 900449,1,,2,0,0,0,406,900449,0,202,0,0,
,20871,0,5,0,200503,5,3,2 2005 900449,1,,2,0,0,0,506,900449,0,202,0,0,
