,optional,optional,optional,optional,optional,optional,optional,optional,optional,repeated,optional,repeated
,uint32,string,uint32,uint32,uint32,float,float,float,int32,int32,string,int32
,levelID,name,sceneID,sort,subsort,enterPosX,enterPosY,enterPosZ,audioClipID,stepClipID,loadBgName,AudioClipLoopID
备注,关卡ID,关卡名,资源名称,类型(-1客户端场景、0主城、1野外、2副本),子类型,入口坐标X,入口坐标Y(暂时添加，是否需要？？？),入口坐标Z,背景音乐,英雄脚步声,场景加载背景名,循环音乐（分号隔开
,3097,海地斯监狱一层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3098,海地斯监狱三层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3099,海地斯监狱二层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3101,海地斯监狱五层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3102,海地斯监狱六层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3103,海地斯监狱十一层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3104,海地斯监狱十层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3105,海地斯监狱七层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3106,海地斯监狱十六层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3107,海地斯监狱十五层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3108,海地斯监狱十三层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3109,海地斯监狱十七层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3110,海地斯监狱十四层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3111,海地斯监狱八层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3112,海地斯监狱十九层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3113,海地斯监狱十二层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3114,海地斯监狱二十层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3115,海地斯监狱九层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3116,海地斯监狱十八层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3096,海地斯监狱四层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3163,海地斯监狱二十一层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3164,海地斯监狱二十二层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3165,海地斯监狱二十三层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3166,海地斯监狱二十四层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3167,海地斯监狱二十五层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3168,海地斯监狱二十六层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3169,海地斯监狱二十七层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3170,海地斯监狱二十八层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
,3171,海地斯监狱二十九层,176,2,0,0.38,0.08,-29.60559,22220050,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",22220051;22220052;22220053;22220050
