,id,des
备注,id,天赋描述
,426,本命的物理攻击提升12%
,427,本命的物理防御提升30%
,428,本命的天赋效果达到2级
,429,本命的伤害加成效果提升30%
,430,本命的抗暴率提升10%
,431,本命的天赋效果达到3级
,432,本命的抗暴率提升10%
,434,本命的魔法攻击提升12%
,435,本命的魔法防御提升30%
,436,本命的天赋效果达到2级
,437,本命的暴击率提升30%
,438,本命的暴击伤害提升20%
,439,本命的天赋效果达到3级
,440,本命的暴击率提升30%
,442,本命的物理攻击提升12%
,443,本命的生命值提升12%
,444,本命的天赋效果达到2级
,445,本命的暴击率提升30%
,446,本命的暴击伤害提升20%
,447,本命的天赋效果达到3级
,448,本命的暴击率提升30%
,450,本命的物理攻击提升12%
,451,本命的物理防御提升30%
,452,本命的天赋效果达到2级
,453,本命的暴击率提升30%
,454,本命的暴击伤害提升20%
,455,本命的天赋效果达到3级
,456,本命的暴击伤害提升20%
,458,本命的生命值提升12%
,459,本命的魔法攻击提升12%
,460,本命的天赋效果达到2级
,461,本命的命中率提升30%
,462,本命的闪避率提升5%
,463,本命的天赋效果达到3级
,464,本命的闪避率提升5%
,466,本命的物理攻击提升12%
,467,本命的物理防御提升30%
,468,本命的天赋效果达到2级
,469,本命的破格挡率提升10%
,470,本命的伤害加成效果提升30%
,471,本命的天赋效果达到3级
,472,本命的伤害加成效果提升30%
,474,本命的生命值提升12%
,475,本命的物理防御提升30%
,476,本命的天赋效果达到2级
,477,本命的伤害减免效果提升10%
,478,本命的格挡率提升10%
,479,本命的天赋效果达到3级
,480,本命的格挡率提升10%
,490,本命的物理防御提升30%
,491,本命的物理攻击提升12%
,492,本命的天赋效果达到2级
,493,本命的格挡率提升10%
,494,本命的抗暴率提升10%
,495,本命的天赋效果达到3级
,496,本命的抗暴率提升10%
,498,本命的物理攻击提升12%
,499,本命的生命值提升12%
,500,本命的天赋效果达到2级
,501,本命的暴击率提升30%
,502,本命的伤害加成效果提升30%
,503,本命的天赋效果达到3级
,504,本命的伤害加成效果提升30%
,514,本命的魔法攻击提升12%
,515,本命的魔法防御提升30%
,516,本命的天赋效果达到2级
,517,本命的破格挡率提升10%
,518,本命的暴击率提升30%
,519,本命的天赋效果达到3级
,520,本命的暴击率提升30%
,538,本命的物理攻击提升12%
,539,本命的物理防御提升30%
,540,本命的天赋效果达到2级
,541,本命的暴击率提升30%
,542,本命的暴击伤害提升20%
,543,本命的天赋效果达到3级
,544,本命的暴击伤害提升20%
,546,本命的魔法攻击提升12%
,547,本命的生命值提升12%
,548,本命的天赋效果达到2级
,549,本命的命中率提升30%
,550,本命的暴击率提升30%
,551,本命的天赋效果达到3级
,552,本命的暴击率提升30%
,530,本命的物理防御提升30%
,531,本命的生命值提升12%
,532,本命的天赋效果达到2级
,533,本命的格挡率提升10%
,534,本命的伤害减免效果提升10%
,535,本命的天赋效果达到3级
,536,本命的伤害减免效果提升10%
,554,本命的物理防御提升30%
,555,本命的物理攻击提升12%
,556,本命的天赋效果达到2级
,557,本命的破格挡率提升10%
,558,本命的命中率提升30%
,559,本命的天赋效果达到3级
,560,本命的命中率提升30%
