,required,required,required,required,required
,uint32,uint32,int32,uint32,uint32
,id,hero_id,unlock_level,chinese_id,japanese_id
备注,英雄id拼接音频索引,英雄id,解锁等级,中文的音频id,日文的音频id
,10151,101,0,1,0
,10152,101,1,2,0
,10153,101,2,3,0
,10154,101,4,4,0
,10155,101,6,5,0
,10156,101,8,6,0
,10157,101,9,70,0
,10199,101,-1,0,0
,10202,102,0,53,0
,10299,102,-1,0,0
,10301,103,0,42,0
,10302,103,0,43,0
,10303,103,0,44,0
,10399,103,-1,0,0
,10451,104,3,26,0
,10452,104,6,27,0
,10499,104,-1,0,0
,10551,105,0,18,0
,10552,105,3,19,0
,10553,105,6,20,0
,10599,105,-1,0,0
,10602,106,0,56,0
,10603,106,0,57,0
,10604,106,0,58,0
,10605,106,0,59,0
,10651,106,0,29,0
,10652,106,2,71,0
,10699,106,-1,0,0
,10703,107,0,62,0
,10751,107,0,30,0
,10752,107,3,31,0
,10799,107,-1,0,0
,10851,108,0,21,0
,10899,108,-1,0,0
,11199,111,-1,0,0
,11201,112,0,63,0
,11202,112,0,64,0
,11251,112,0,67,0
,11299,112,-1,0,0
,11301,113,0,65,0
,11302,113,0,66,0
,11399,113,-1,0,0
,11499,114,-1,0,0
,20151,201,0,7,0
,20152,201,1,8,0
,20153,201,2,9,0
,20154,201,4,10,0
,20155,201,5,11,0
,20156,201,7,12,0
,20157,201,8,13,0
,20199,201,-1,0,0
,30151,301,0,14,0
,30152,301,2,15,0
,30153,301,4,16,0
,30154,301,6,17,0
,30199,301,-1,0,0
,30204,302,0,50,0
,30205,302,0,51,0
,30251,302,0,22,0
,30252,302,3,23,0
,30253,302,6,24,0
,30299,302,-1,0,0
,40101,401,0,54,0
,40102,401,0,69,0
,40199,401,-1,0,0
