,id,des
备注,id,天赋描述
,4,本命的天赋效果达到<color=#FFA517>2</color>级
,7,本命的天赋效果达到<color=#FFA517>3</color>级
,12,本命的天赋效果达到<color=#FFA517>2</color>级
,15,本命的天赋效果达到<color=#FFA517>3</color>级
,20,本命的天赋效果达到<color=#FFA517>2</color>级
,23,本命的天赋效果达到<color=#FFA517>3</color>级
,28,本命的天赋效果达到<color=#FFA517>2</color>级
,31,本命的天赋效果达到<color=#FFA517>3</color>级
,36,本命的天赋效果达到<color=#FFA517>2</color>级
,39,本命的天赋效果达到<color=#FFA517>3</color>级
,44,本命的天赋效果达到<color=#FFA517>2</color>级
,47,本命的天赋效果达到<color=#FFA517>3</color>级
,52,本命的天赋效果达到<color=#FFA517>2</color>级
,55,本命的天赋效果达到<color=#FFA517>3</color>级
,60,本命的天赋效果达到<color=#FFA517>2</color>级
,63,本命的天赋效果达到<color=#FFA517>3</color>级
,68,本命的天赋效果达到<color=#FFA517>2</color>级
,71,本命的天赋效果达到<color=#FFA517>3</color>级
,76,本命的天赋效果达到<color=#FFA517>2</color>级
,79,本命的天赋效果达到<color=#FFA517>3</color>级
,84,本命的天赋效果达到<color=#FFA517>2</color>级
,87,本命的天赋效果达到<color=#FFA517>3</color>级
,92,本命的天赋效果达到<color=#FFA517>2</color>级
,95,本命的天赋效果达到<color=#FFA517>3</color>级
,100,本命的天赋效果达到<color=#FFA517>2</color>级
,103,本命的天赋效果达到<color=#FFA517>3</color>级
,108,本命的天赋效果达到<color=#FFA517>2</color>级
,111,本命的天赋效果达到<color=#FFA517>3</color>级
,116,本命的天赋效果达到<color=#FFA517>2</color>级
,119,本命的天赋效果达到<color=#FFA517>3</color>级
,124,本命的天赋效果达到<color=#FFA517>2</color>级
,127,本命的天赋效果达到<color=#FFA517>3</color>级
,132,本命的天赋效果达到<color=#FFA517>2</color>级
,135,本命的天赋效果达到<color=#FFA517>3</color>级
,140,本命的天赋效果达到<color=#FFA517>2</color>级
,143,本命的天赋效果达到<color=#FFA517>3</color>级
,148,本命的天赋效果达到<color=#FFA517>2</color>级
,151,本命的天赋效果达到<color=#FFA517>3</color>级
,156,本命的天赋效果达到<color=#FFA517>2</color>级
,159,本命的天赋效果达到<color=#FFA517>3</color>级
,164,本命的天赋效果达到<color=#FFA517>2</color>级
,167,本命的天赋效果达到<color=#FFA517>3</color>级
,172,本命的天赋效果达到<color=#FFA517>2</color>级
,175,本命的天赋效果达到<color=#FFA517>3</color>级
,180,本命的天赋效果达到<color=#FFA517>2</color>级
,183,本命的天赋效果达到<color=#FFA517>3</color>级
,188,本命的天赋效果达到<color=#FFA517>2</color>级
,191,本命的天赋效果达到<color=#FFA517>3</color>级
,196,本命的天赋效果达到<color=#FFA517>2</color>级
,199,本命的天赋效果达到<color=#FFA517>3</color>级
,204,本命的天赋效果达到<color=#FFA517>2</color>级
,207,本命的天赋效果达到<color=#FFA517>3</color>级
,260,本命的天赋效果达到<color=#FFA517>2</color>级
,263,本命的天赋效果达到<color=#FFA517>3</color>级
,268,本命的天赋效果达到<color=#FFA517>2</color>级
,271,本命的天赋效果达到<color=#FFA517>3</color>级
,276,本命的天赋效果达到<color=#FFA517>2</color>级
,279,本命的天赋效果达到<color=#FFA517>3</color>级
,284,本命的天赋效果达到<color=#FFA517>2</color>级
