,id,Name,Intention,countdown_des,talks,detailDes
备注,任务id,任务标题,任务目标,描述,护送Npc喊话组(以$$分隔),详细描述（佣兵任务等）
,10719,出发！神法遗迹！,前往神法遗迹,,跟紧一点，就快到了。,
,10720,出发！神法遗迹！,泽克的嘲讽,,,
,10721,辉鳞族高层,冲动的首领,,,
,10722,辉鳞族高层,商讨之后,,,
,10723,辉鳞族高层,击败鹿角兽,,,
,10724,辉鳞族高层,西蒙的异状,,,
,10725,时间之隙,女武神的存在,,,
,10726,鹿角兽大军,鹿角兽的突袭,,,
,10727,鹿角兽大军,击退鹿角兽,,,
,10728,鹿角兽大军,击退鹿角兽,,,
,10729,鹿角兽大军,救援首领,,,
,10730,鹿角兽大军,打败鹿角兽,,,
,10731,鹿角兽大军,通关副本【龙祭塔台】,,,
,10732,另一件神器,首领的道歉,,,
,10733,另一件神器,神选者,,,
,10734,另一件神器,前往暗崖边塞,,,
,10735,另一件神器,联手,,,
,10738,时间之隙,变故,,,
,10739,时间之隙,时光马戏团·一,,,
,10740,时间之隙,时光马戏团·二,,,
,10741,时间之隙,时光马戏团·三,,,
,10742,时间之隙,时光马戏团·四,,,
,10743,时间之隙,时光马戏团·五,,,
,10744,时间之隙,回归,,,
,10767,时间之隙,达到68级,,,
