,id,talkName,dialogue,firstBtnText,secondBtnText,actionText,dialogue_Japanese
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数,日配对白内容
,1371301,,到了！前面就是我们辉鳞族的圣地——神法遗迹了，首领现在应该就在里面。,,,,到了！前面就是我们辉鳞族的圣地——神法遗迹了，首领现在应该就在里面。
,1371302,,哟，这不是辉煌的鲁珀特吗？今天怎么有空屈尊来我这种小地方？<br>嗯？人类？你竟然还敢带人类来这里？,,,,哟，这不是辉煌的鲁珀特吗？今天怎么有空屈尊来我这种小地方？<br>嗯？人类？你竟然还敢带人类来这里？
,1371303,,不是的！这些人类是来找族长的！我……,,,,不是的！这些人类是来找族长的！我……
,1371304,,鲁珀特，你真是不知悔改！只要有我在，就不准人类踏进神法遗迹！,不准欺负人！,让我准备一下。,,鲁珀特，你真是不知悔改！只要有我在，就不准人类踏进神法遗迹！
,1371401,,叛徒鲁珀特！连战斗都要人类帮忙！辉鳞族的耻辱！,,,,叛徒鲁珀特！连战斗都要人类帮忙！辉鳞族的耻辱！
,1371402,,哈？你这个【哔——】蜥蜴，我们不说话你就当我们是哑巴吗？谁要来偷神器啊？信不信我【哔——】,,,,哈？你这个【哔——】蜥蜴，我们不说话你就当我们是哑巴吗？谁要来偷神器啊？信不信我【哔——】
,1371403,,是谁在神圣的女武神面前吵闹！,,,,是谁在神圣的女武神面前吵闹！
,1371404,,祭司大人。鲁珀特带了人类想要强闯进去，我担心又会发生七年前那样的事情，我才在这里拦着他们。,,,,祭司大人。鲁珀特带了人类想要强闯进去，我担心又会发生七年前那样的事情，我才在这里拦着他们。
,1371405,,我们是因为精灵公主的引荐，来这里找辉鳞族首领欧霍尼克。你话没听完就想动手，还嘲笑鲁珀特！,,,,我们是因为精灵公主的引荐，来这里找辉鳞族首领欧霍尼克。你话没听完就想动手，还嘲笑鲁珀特！
,1371406,,泽克，七年前的事早已查清，你不应对同族举起刀剑。至于鲁珀特，你要把力量放在保卫族群上，牢记女武神赐予辉鳞族的荣耀！,,,,泽克，七年前的事早已查清，你不应对同族举起刀剑。至于鲁珀特，你要把力量放在保卫族群上，牢记女武神赐予辉鳞族的荣耀！
,1371407,,好的，祭司大人！这些人类他们帮助了我，我才带他们来这里的。,,,,好的，祭司大人！这些人类他们帮助了我，我才带他们来这里的。
,1371408,,人类，你说你得到了精灵公主的引荐？可是据我所知，精灵与人类世代交恶。这种显而易见的谎言只会让人类的形象更加污浊。,,,,人类，你说你得到了精灵公主的引荐？可是据我所知，精灵与人类世代交恶。这种显而易见的谎言只会让人类的形象更加污浊。
,1371409,,尊敬的祭司大人，我们已经与精灵恢复了友好邦交。请看，这是精灵公主葛莱蒂斯给辉鳞族首领的信件。,,,,尊敬的祭司大人，我们已经与精灵恢复了友好邦交。请看，这是精灵公主葛莱蒂斯给辉鳞族首领的信件。
,1371410,,哦？这确实是寻风者家族的印章，我能感受到上面精灵的魔力……这可真是一个令人惊讶的改变。既然这样，人类，随我进来吧。,,,,哦？这确实是寻风者家族的印章，我能感受到上面精灵的魔力……这可真是一个令人惊讶的改变。既然这样，人类，随我进来吧。
,1371411,,好的。（怎么回事……感觉越来越难受了……）,,,,好的。（怎么回事……感觉越来越难受了……）
,1371412,,西蒙，你还好吗？你的脸色看起来比刚才更糟了。,,,,西蒙，你还好吗？你的脸色看起来比刚才更糟了。
,1371413,,……没事，我们赶紧进去吧。,,,,……没事，我们赶紧进去吧。
,1371501,,首领大人，这些人类带来了精灵朋友的信件。令人惊讶，人类居然打破了两族之间千年的隔阂。,,,,首领大人，这些人类带来了精灵朋友的信件。令人惊讶，人类居然打破了两族之间千年的隔阂。
,1371502,,现在他们带来了一些重要的讯息，我们不妨听听吧。,,,,现在他们带来了一些重要的讯息，我们不妨听听吧。
,1371503,,尊敬的首领大人，我是来自罗兰帝国的西蒙·奥兹。这次前来是想告诉您关于鹿角兽一族躁动的讯息。这是精灵公主葛莱蒂丝的信件。,,,,尊敬的首领大人，我是来自罗兰帝国的西蒙·奥兹。这次前来是想告诉您关于鹿角兽一族躁动的讯息。这是精灵公主葛莱蒂丝的信件。
,1371504,,哼！花言巧语的人类！<br>不要以为有精灵族的信物，你就能轻易得到辉鳞族的友谊！,,,,哼！花言巧语的人类！<br>不要以为有精灵族的信物，你就能轻易得到辉鳞族的友谊！
,1371505,,（西蒙告诉了首领欧霍尼克，有关鹿角兽异动以及圣界意图复活魔神<br>    的事情。）,,,,（西蒙告诉了首领欧霍尼克，有关鹿角兽异动以及圣界意图复活魔神<br>    的事情。）
,1371506,,哼！难怪那些丑陋的鹿角兽更加疯狂了！我就知道它们在筹划着什么不可告人的事情！,,,,哼！难怪那些丑陋的鹿角兽更加疯狂了！我就知道它们在筹划着什么不可告人的事情！
,1371507,,我们目前猜测圣界正在收集神器，企图复活魔神。听葛莱蒂斯公主提到，辉鳞族也有一件神器，请首领大人务必注意神器的安全。,,,,我们目前猜测圣界正在收集神器，企图复活魔神。听葛莱蒂斯公主提到，辉鳞族也有一件神器，请首领大人务必注意神器的安全。
,1371508,,哼！神器？我们的神器已被无耻的鹿角兽抢走了。而七年前，你们人类就企图偷走神器，现在你们说要注意安全？简直就是笑话！,,,,哼！神器？我们的神器已被无耻的鹿角兽抢走了。而七年前，你们人类就企图偷走神器，现在你们说要注意安全？简直就是笑话！
,1371509,,女武神在上，首领大人请你冷静一下！抱歉，诸位带来的讯息事关重大，容我们商讨一下。,,,,女武神在上，首领大人请你冷静一下！抱歉，诸位带来的讯息事关重大，容我们商讨一下。
,1371510,,（大祭司伊古斯把首领欧霍尼克拉到一旁，低声讨论了起来）,,,,（大祭司伊古斯把首领欧霍尼克拉到一旁，低声讨论了起来）
,1371601,,咳咳！远道而来的人类朋友，感谢你们不辞辛苦带来的讯息。此前，我们就对鹿角兽的异动有些怀疑，现在这一切都有了解释。,,,,咳咳！远道而来的人类朋友，感谢你们不辞辛苦带来的讯息。此前，我们就对鹿角兽的异动有些怀疑，现在这一切都有了解释。
,1371602,,辉鳞族愿意与你们暂时联手，以女武神之名起誓！只是，最近有不少鹿角兽在辉鳞堡附近蠢蠢欲动，我们有些分身乏术……,,,,辉鳞族愿意与你们暂时联手，以女武神之名起誓！只是，最近有不少鹿角兽在辉鳞堡附近蠢蠢欲动，我们有些分身乏术……
,1371603,,没问题，交给我们解决吧！,,,,没问题，交给我们解决吧！
,1371604,,西蒙，你怎么又这样随便答应别人！,,,,西蒙，你怎么又这样随便答应别人！
,1371605,,号通！哒洁透，块怂嗖！！联姚边行了!<br>（好痛！大姐头，快松手！！脸要变形了！）,,,,号通！哒洁透，块怂嗖！！联姚边行了!<br>（好痛！大姐头，快松手！！脸要变形了！）
,1371606,,好啦，爱琳娜姐姐，消消气。我们本来就要去鹿角兽帝国找神器的，既然现在西蒙答应下来也没什么关系啦。,,,,好啦，爱琳娜姐姐，消消气。我们本来就要去鹿角兽帝国找神器的，既然现在西蒙答应下来也没什么关系啦。
,1371607,,好，我们出发吧！,,,,好，我们出发吧！
,1371701,,为了四蹄神大人！,受死吧，鹿角兽！,我还要再准备一下。,,为了四蹄神大人！
,1371801,,总算把这些鹿角兽都收拾掉了，我们去神法遗迹找大祭司跟首领吧！西蒙，你真的不要休息一下吗？你看起来真的……,,,,总算把这些鹿角兽都收拾掉了，我们去神法遗迹找大祭司跟首领吧！西蒙，你真的不要休息一下吗？你看起来真的……
,1371802,,……没事，我们去找大祭司吧。我想快点找回神器。,,,,……没事，我们去找大祭司吧。我想快点找回神器。
,1371901,,大祭司……那些鹿角兽……已经都清理完了…… <br>（唔……怎么比刚才更难受了！）,,,,大祭司……那些鹿角兽……已经都清理完了…… <br>（唔……怎么比刚才更难受了！）
,1371902,,人类朋友，感谢你们的慷慨相助。请容许我为我的哥哥，也就是首领欧霍尼克的唐突再次道歉。,,,,人类朋友，感谢你们的慷慨相助。请容许我为我的哥哥，也就是首领欧霍尼克的唐突再次道歉。
,1371903,,七年前我们失去了不少族人，这点令他十分痛苦，希望你们能理解。首领大人现在去处理一些事情，请随我到遗迹内部的辉鳞神殿等待吧。,,,,七年前我们失去了不少族人，这点令他十分痛苦，希望你们能理解。首领大人现在去处理一些事情，请随我到遗迹内部的辉鳞神殿等待吧。
,1371904,,好的。唔！（怎么回事？怎么体内的奥兹之力一直在躁动不安。）,,,,好的。唔！（怎么回事？怎么体内的奥兹之力一直在躁动不安。）
,1371905,,这里面……真是充满异域特色的建筑……,,,,这里面……真是充满异域特色的建筑……
,1371906,,这一切都是女武神对于辉鳞族的恩赐。如果你们有兴趣的话，可以在遗迹内参观。,,,,这一切都是女武神对于辉鳞族的恩赐。如果你们有兴趣的话，可以在遗迹内参观。
,1371907,,这些神像是……？,,,,这些神像是……？
,1371908,,这些是我们辉鳞一族代代供奉的女武神。多亏女武神的护佑，辉鳞族的文明才能传承至此。,,,,这些是我们辉鳞一族代代供奉的女武神。多亏女武神的护佑，辉鳞族的文明才能传承至此。
,1371909,,女武神是世间万物的守护神，在她们面前邪恶无处遁形。传说神法时代，数位女武神降临于艾恩大陆庇护众生。,,,,女武神是世间万物的守护神，在她们面前邪恶无处遁形。传说神法时代，数位女武神降临于艾恩大陆庇护众生。
,1371910,,但是，自漫天流星照亮夜空，神器从天而降，艾恩大陆就再未出现过女武神的身影。纷争时代就此开启，众族为了神器争端不断。,,,,但是，自漫天流星照亮夜空，神器从天而降，艾恩大陆就再未出现过女武神的身影。纷争时代就此开启，众族为了神器争端不断。
,1371911,,纷争时代？难道说得是“圣赐时代”？我记得文献中记载是，战争之神·奥兹因赏识人类的勇敢赐下了自己的神器，人类文明由此兴盛。,,,,纷争时代？难道说得是“圣赐时代”？我记得文献中记载是，战争之神·奥兹因赏识人类的勇敢赐下了自己的神器，人类文明由此兴盛。
,1371912,,我从不知道原来女武神还不止一位，而且我几乎没看过关于这个“纷争时代”的记载……,,,,我从不知道原来女武神还不止一位，而且我几乎没看过关于这个“纷争时代”的记载……
,1371913,,对于女武神有几位，一直没有定论。在辉鳞族的古籍中，共记载了6名女武神的存在。而精灵朋友们的文献记载了3位女武神。,,,,对于女武神有几位，一直没有定论。在辉鳞族的古籍中，共记载了6名女武神的存在。而精灵朋友们的文献记载了3位女武神。
,1371914,,多亏女武神护佑，辉鳞族的传承从未中断过。我们对于这一切记载得相当详细。如果你想了解更多女武神的事，你可以问问见习祭司摩西。,,,,多亏女武神护佑，辉鳞族的传承从未中断过。我们对于这一切记载得相当详细。如果你想了解更多女武神的事，你可以问问见习祭司摩西。
,1371915,,谢谢大祭司！果然，出来游历真是正确的选择！这可真是在学院里无法学习到的知识呢！,,,,谢谢大祭司！果然，出来游历真是正确的选择！这可真是在学院里无法学习到的知识呢！
,1371916,,温丽，冷静一点。我们这次还有重要的事要做。,,,,温丽，冷静一点。我们这次还有重要的事要做。
,1371917,,反正，也还在等首领嘛，就…………,,,,反正，也还在等首领嘛，就…………
,1372001,,我的人类朋友，你休息得还好吗？,,,,我的人类朋友，你休息得还好吗？
,1372002,,当然！所以，大祭司，昨天到底是怎么回事？为什么我的手突然<br>会……发光？,,,,当然！所以，大祭司，昨天到底是怎么回事？为什么我的手突然<br>会……发光？
,1372003,,是这样的，我们辉鳞族……,,,,是这样的，我们辉鳞族……
,1372004,,（大祭司伊古斯话音未落， 突然传来一阵打斗声，紧接着一群鹿角兽<br>    冲了进来。）,,,,（大祭司伊古斯话音未落， 突然传来一阵打斗声，紧接着一群鹿角兽<br>    冲了进来。）
,1372005,,这里有臭蜥蜴！还有人类！杀了他们！,,,,这里有臭蜥蜴！还有人类！杀了他们！
,1372101,,哪来的鹿角兽！,走开！,我要再准备一下。,,哪来的鹿角兽！
,1372201,,我们快去外面看看发生了什么吧。,,,,我们快去外面看看发生了什么吧。
,1372202,,怎么回事！！我们明明在辉鳞族内，哪来这么多鹿角兽！,鹿角兽，受死吧！,我考虑一下。,,怎么回事！！我们明明在辉鳞族内，哪来这么多鹿角兽！
,1372301,,这些鹿角兽怎么回事？这么拼命？,,,,这些鹿角兽怎么回事？这么拼命？
,1372302,,大祭司！你还好吗！？一大群鹿角兽在龙祭塔台开了时空之门冲进了我们的领地！首领快撑不住了！让你快去看看有没办法关上门！,,,,大祭司！你还好吗！？一大群鹿角兽在龙祭塔台开了时空之门冲进了我们的领地！首领快撑不住了！让你快去看看有没办法关上门！
,1372303,,这里有事关女武神的重要物品！我不能离开！,,,,这里有事关女武神的重要物品！我不能离开！
,1372304,,大祭司！我是魔法师，处理过不少这样的事，或许能够帮上你们！让我们几个过去支援吧！,,,,大祭司！我是魔法师，处理过不少这样的事，或许能够帮上你们！让我们几个过去支援吧！
,1372305,,那……那就拜托你们了！泽克！跟我一同守卫这里，绝不能让一只鹿角兽玷污女武神的圣地！,,,,那……那就拜托你们了！泽克！跟我一同守卫这里，绝不能让一只鹿角兽玷污女武神的圣地！
,1372306,,好的！大祭司！人类！首领大人就拜托你们了！,,,,好的！大祭司！人类！首领大人就拜托你们了！
,1372307,,就交给我们吧！,,,,就交给我们吧！
,1372401,,人类，不准阻碍四蹄神大人的计划！,让开，不要挡道！,我再准备准备。,,人类，不准阻碍四蹄神大人的计划！
,1372501,,人类，我们回辉鳞神殿谈谈接下来的事情吧。,,,,大祭司！你们还好吗？我们已经把时空之门关闭了！
