,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,int64,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,id,life,phy_atk,mgc_atk,phy_def,mgc_def,life_add,phy_atk_add,mgc_atk_add,phy_def_add,mgc_def_add,hit_rate,dodge_rate,critical_rate,critical_dmg,critical_def,parry_rate,parry_def,hitbreak_rate,hitback_xp,dmg_add,dmg_cut,ice_atk,fire_atk,dark_atk,light_atk,ice_def,fire_def,light_def,dark_def
备注,属性id,生命值,物理攻击,魔法攻击,物理防御,魔法防御,生命加成,物攻加成,魔攻加成,物防加成,魔防加成,命中率,闪避率,暴击率,暴击伤害,抗爆率,格挡率,格挡减伤,破击率,受击回复xp,伤害加成,伤害减免,冰元素伤害,火元素伤害,暗元素伤害,光元素伤害,冰元素抗性,火元素抗性,光元素抗性,暗元素抗性
,1000156,36612,2160,2160,864,864,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,1000157,36612,2160,2160,864,864,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,1000158,56430,2250,2250,900,900,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,1000159,38475,2250,2250,900,900,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,1000160,30780,2250,2250,900,900,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000071,12526,1898,1898,759,759,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000072,55970,2017,2017,806,806,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000073,33582,2017,2017,806,806,0,0,0,0,0,10000,500,2500,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
戈壁火狐,9000078,29151,1783,1783,713,713,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
魔化毒角兽,9000079,29151,1783,1783,713,713,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
魅魔,9000085,52195,1898,1898,759,759,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000086,40399,2342,2342,936,936,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000087,40399,2342,2342,936,936,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000088,40399,2342,2342,936,936,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000089,50842,2435,2435,974,974,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000090,22596,2435,2435,974,974,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000119,70615,2435,2435,974,974,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000121,42369,2435,2435,974,974,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000122,53260,2529,2529,1011,1011,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000123,8473,3652,3652,973,973,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000124,22596,2435,2435,974,974,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000125,71242,2625,2625,1050,1050,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000126,42369,2435,2435,974,974,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000127,44383,2529,2529,1011,1011,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000128,42369,2435,2435,974,974,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000129,8876,3793,3793,1011,1011,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000130,34792,2071,2071,828,828,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000131,34792,2071,2071,828,828,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000132,34792,2071,2071,828,828,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000133,53697,2160,2160,864,864,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000147,42369,2435,2435,974,974,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000148,38475,2250,2250,900,900,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000197,8473,3652,3652,973,973,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000198,8876,3793,3793,1011,1011,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000199,42108,2722,2722,1088,1088,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000200,42108,2722,2722,1088,1088,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
