,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,1292002,12920,2,301,3005,0,-1,0,301,0,0,1
,1292003,12920,3,113,-1,0,-1,0,113,0,0,1
,1292004,12920,4,113,-1,0,-1,0,113,0,0,1
,1292005,12920,5,3005,3005,0,-1,0,-1,0,0,1
,1292006,12920,6,3005,3005,0,-1,0,-1,0,0,1
,1292007,12920,7,101,101,100106,-1,0,-1,0,0,1
,1292008,12920,8,113,-1,0,-1,0,113,0,0,1
,1292009,12920,9,201,201,100206,-1,0,113,0,0,1
,1292010,12920,10,113,201,100206,-1,0,113,0,0,1
,1292011,12920,11,3005,3005,0,-1,0,-1,0,0,1
,1349801,13498,1,101,101,0,-1,0,-1,0,0,0
