,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,string,uint32,uint32,float,float,float,int32
,id,levelId,pathId,nodeIndex,npcChatId,action,rotation,stayTime,modify,speedRate,fightDistance,triggerDistance,triggerAngle
备注,id,关卡id,路径ID,巡逻点,冒泡id,事件,角度,停留时间（毫秒）,是否修改巡逻参数0不修改1修改,移动速率,战斗距离,触发距离,触发角度
,315400401,3154,4,1,0,0,"0,90,0",2000,1,0.5,7,7,80
,315400402,3154,4,2,0,0,"0,180,0",2000,1,0.5,7,7,80
,315400403,3154,4,3,0,0,"0,-90,0",2000,1,0.5,7,7,80
,315400404,3154,4,4,0,0,"0,0,0",2000,1,0.5,7,7,80
,315400405,3154,4,5,0,0,"0,90,0",2000,1,0.5,7,7,80
,315400501,3154,5,1,0,0,"0,180,0",2000,1,0.5,7,7,80
,315400502,3154,5,2,0,0,"0,-90,0",2000,1,0.5,7,7,80
,315400503,3154,5,3,0,0,"0,-0,0",2000,1,0.5,7,7,80
,315400504,3154,5,4,0,0,"0,90,0",2000,1,0.5,7,7,80
,315400505,3154,5,5,0,0,"0,180,0",2000,1,0.5,7,7,80
,315400601,3154,6,1,0,0,"0,0,0",2000,1,0.5,7,7,80
,315400602,3154,6,2,0,0,"0,-90,0",2000,1,0.5,7,7,80
,315400603,3154,6,3,0,0,"0,180,0",2000,1,0.5,7,7,80
,315400604,3154,6,4,0,0,"0,90,0",2000,1,0.5,7,7,80
,315400605,3154,6,5,0,0,"0,0,0",2000,1,0.5,7,7,80
,315401301,3154,13,1,0,0,"0,180,0",2000,1,0.5,7,7,80
,315401302,3154,13,2,0,0,"0,-90,0",2000,1,0.5,7,7,80
,315401303,3154,13,3,0,0,"0,0,0",2000,1,0.5,7,7,80
,315401304,3154,13,4,0,0,"0,90,0",2000,1,0.5,7,7,80
,315401305,3154,13,5,0,0,"0,180,0",2000,1,0.5,7,7,80
,315401401,3154,14,1,0,0,"0,180,0",2000,1,0.5,7,7,80
,315401402,3154,14,2,0,0,"0,-90,0",2000,1,0.5,7,7,80
,315401403,3154,14,3,0,0,"0,0,0",2000,1,0.5,7,7,80
,315401404,3154,14,4,0,0,"0,90,0",2000,1,0.5,7,7,80
,315401405,3154,14,5,0,0,"0,180,0",2000,1,0.5,7,7,80
,315401501,3154,15,1,0,0,"0,0,0",2000,1,0.5,7,7,80
,315401502,3154,15,2,0,0,"0,-90,0",2000,1,0.5,7,7,80
,315401503,3154,15,3,0,0,"0,180,0",2000,1,0.5,7,7,80
,315401504,3154,15,4,0,0,"0,90,0",2000,1,0.5,7,7,80
,315401505,3154,15,5,0,0,"0,0,0",2000,1,0.5,7,7,80
