,required,required,required,required,repeated,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,fight,multi_boss,monster,money,user_exp,hero_exp,exp_ball,reward_id,action_id,max_battle_time,battle_check,attack_status_id,fight_type
备注,ID,备注,战力,多人boss,怪物id,掉落金币,战队经验,英雄经验,经验球经验,奖励id,事件id,战斗限时,战斗检测,偷袭状态,战斗力压制算法类型
,200785,,0,0,1001256,0,0,0,0,0,0,600000,1,0,0
,200786,,0,0,1001256,0,0,0,0,0,0,600000,1,0,0
,200787,,0,0,1001256,0,0,0,0,0,0,600000,1,0,0
,200788,,0,0,1001257,0,0,0,0,0,0,600000,1,0,0
,200789,,0,0,1001257,0,0,0,0,0,0,600000,1,0,0
,200790,,0,0,1001257,0,0,0,0,0,0,600000,1,0,0
,200791,,0,0,1001256,0,0,0,0,0,0,600000,1,0,0
,200792,,0,0,1001256,0,0,0,0,0,0,600000,1,0,0
,200793,,0,0,1001257,0,0,0,0,0,0,600000,1,0,0
,200794,,0,0,1001256,0,0,0,0,0,0,600000,1,0,0
,200795,,0,0,1001256,0,0,0,0,0,0,600000,1,0,0
,200796,,0,0,1001256,0,0,0,0,0,0,600000,1,0,0
,200797,,0,0,1001257,0,0,0,0,0,0,600000,1,0,0
,200798,,0,0,1001257,0,0,0,0,0,0,600000,1,0,0
,200799,,0,0,1001257,0,0,0,0,0,0,600000,1,0,0
,200800,,0,0,1001258,0,0,0,0,0,0,600000,0,0,0
,200801,,0,0,1001259,0,0,0,0,0,0,600000,0,0,0
,200802,,0,0,1001260,0,0,0,0,0,0,600000,0,0,0
,200803,,0,0,1001261,0,0,0,0,0,0,600000,0,0,0
,200804,,0,0,1001262,0,0,0,0,0,0,600000,0,0,0
,200805,,0,0,1001263,0,0,0,0,0,0,600000,0,0,0
