流水ID,bug名字,bug描述,截图,bug归属地,类型,其他,原因,解决方法
1,雾海危机,雾海的危机第四层B区，怪物特性界面显示的与关卡内显示的不一致,,客户端配置,配置遗漏,,30关配置太多，造成遗漏,使用工具批量生成
2,雾海危机,雾海的危机第四层C区首领，只消除了两个特性就去打BOSS，此时BOSS显示无特性,,lua代码,boss monster_id配置错误,,复制相同代码时将monsterID复制没有修改,lua的逻辑中全部使用变量，绝不直接使用数字ID
3,雾海危机,"雾海的危机第6层B区,怪物特性界面显示的特性与关卡内显示的不一致",,客户端配置,配置错误,,配置特性时，ID输出错误,使用工具批量复制
4,黑龙战舰多人本,战队经验没有给,,sql,配置遗漏,,未发现战队经验一栏,建议数值给正常文档;多多移动数值文档
5,本命配置,剧情提供的文档中截图两页各本命的本命效果不一致,,客户端配置,配置错误,,文字文档杂乱,多询问文字
6,本命配置,游戏内配置的本命效果文字与策划提供的文档不匹配,,客户端配置,配置错误,,文字文档杂乱,多询问文字
7,物品配置,物品id：120023，客户端与服务端显示的名称不一致,,sql,双端数据,,修改物品名时，数据库未修改,工具提醒，凡有物品的name需同步
8,物品配置,物品id：2000074，客户端与服务端显示的名称不一致，麻烦统一下,,sql,双端数据,,修改物品名时，数据库未修改,工具提醒，凡有物品的name需同步
9,物品配置,成长礼包（15级）本命名称显示乱码,,客户端配置,配置遗漏,,item表未配置没有读取到类型,未熟悉功能，向策划询问检查方法
10,物品配置,成长礼包（65级）本命名称显示乱码,,客户端配置,配置遗漏,,item表未配置没有读取到类型,未熟悉功能，向策划询问检查方法
11,英雄突破,文字已经修改了，但是对应的效果在数据库（equipment_addition）字段中没有配置，目前该字段都是空的值,,客户端配置;sql,配置遗漏,,没有看论坛，错以为无工作量,TQD单子一定有工作量，向策划询问
12,物品配置,目前文字修改是按照策划提供的文档修改的，应改为使用文字提供的文档修改,,客户端配置,配置遗漏,,文字文档2.07版本标蓝却未备注,只要有标色，询问是否有修改
13,对白配置,切换为日语之后，沙海巢穴的字幕会变为空白,,客户端配置,配置遗漏,,日文配置表未同步,坚持到cbt2
14,沙海遗迹,魔族法阵副本，德鲁伊和亡魂法师的奖励配反了，需要修改,,sql,奖励配置相反,,由于两边怪物顺序不一，导致奖励配置乱序,monstergroup也需要name配置，有标注没问题
15,本命配置,"客户端配置表$pet_star,没有star本命星级字段，pet_id写成了ID需要修改，具体看截图",,客户端配置,配置遗漏,,文字文档分3部分，Ctrl+A选中1/3,就算文字在家也要call电话求助
