,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,money,core_id,core_num,minor_id1,minor_num1,minor_id2,minor_num2,minor_id3,minor_num3
备注,物品ID,所需金币数量,核心材料ID,核心材料数量,次要材料1ID,次要材料1数量,次要材料2ID,次要材料2数量,次要材料3ID,次要材料3数量
,2000064,10000,2000054,10,0,0,0,0,0,0
,2000074,10000,2000064,10,0,0,0,0,0,0
,2000084,10000,2000074,10,0,0,0,0,0,0
,2011032,10000,2011021,10,0,0,0,0,0,0
,2011043,10000,2011032,10,0,0,0,0,0,0
,2011054,10000,2011043,10,2000054,1,0,0,0,0
,2011064,10000,2011054,10,2000064,1,0,0,0,0
,2011074,10000,2011064,10,2000074,1,0,0,0,0
,2011084,10000,2011074,10,2000084,1,0,0,0,0
,2012032,10000,2012021,10,0,0,0,0,0,0
,2012043,10000,2012032,10,0,0,0,0,0,0
,2012054,10000,2012043,10,2000054,1,0,0,0,0
,2012064,10000,2012054,10,2000064,1,0,0,0,0
,2012074,10000,2012064,10,2000074,1,0,0,0,0
,2012084,10000,2012074,10,2000084,1,0,0,0,0
,2013032,10000,2013021,10,0,0,0,0,0,0
,2013043,10000,2013032,10,0,0,0,0,0,0
,2013054,10000,2013043,10,2000054,1,0,0,0,0
,2013064,10000,2013054,10,2000064,1,0,0,0,0
,2013074,10000,2013064,10,2000074,1,0,0,0,0
,2013084,10000,2013074,10,2000084,1,0,0,0,0
,2014032,10000,2014021,10,0,0,0,0,0,0
,2014043,10000,2014032,10,0,0,0,0,0,0
,2014054,10000,2014043,10,2000054,1,0,0,0,0
,2014064,10000,2014054,10,2000064,1,0,0,0,0
,2014074,10000,2014064,10,2000074,1,0,0,0,0
,2014084,10000,2014074,10,2000084,1,0,0,0,0
,2021032,10000,2021021,10,0,0,0,0,0,0
,2021043,10000,2021032,10,0,0,0,0,0,0
,2021054,10000,2021043,10,2000054,1,0,0,0,0
,2021064,10000,2021054,10,2000064,1,0,0,0,0
,2021074,10000,2021064,10,2000074,1,0,0,0,0
,2021084,10000,2021074,10,2000084,1,0,0,0,0
,2022032,10000,2022021,10,0,0,0,0,0,0
,2022043,10000,2022032,10,0,0,0,0,0,0
,2022054,10000,2022043,10,2000054,1,0,0,0,0
,2022064,10000,2022054,10,2000064,1,0,0,0,0
,2022074,10000,2022064,10,2000074,1,0,0,0,0
,2022084,10000,2022074,10,2000084,1,0,0,0,0
,2023032,10000,2023021,10,0,0,0,0,0,0
,2023043,10000,2023032,10,0,0,0,0,0,0
,2023054,10000,2023043,10,2000054,1,0,0,0,0
,2023064,10000,2023054,10,2000064,1,0,0,0,0
,2023074,10000,2023064,10,2000074,1,0,0,0,0
,2023084,10000,2023074,10,2000084,1,0,0,0,0
,2024032,10000,2024021,10,0,0,0,0,0,0
,2024043,10000,2024032,10,0,0,0,0,0,0
,2024054,10000,2024043,10,2000054,1,0,0,0,0
,2024064,10000,2024054,10,2000064,1,0,0,0,0
,2024074,10000,2024064,10,2000074,1,0,0,0,0
,2024084,10000,2024074,10,2000084,1,0,0,0,0
,2041032,10000,2041021,10,0,0,0,0,0,0
,2041043,10000,2041032,10,0,0,0,0,0,0
,2041054,10000,2041043,10,2000054,1,0,0,0,0
,2041064,10000,2041054,10,2000064,1,0,0,0,0
,2041074,10000,2041064,10,2000074,1,0,0,0,0
,2041084,10000,2041074,10,2000084,1,0,0,0,0
,2042032,10000,2042021,10,0,0,0,0,0,0
,2042043,10000,2042032,10,0,0,0,0,0,0
,2042054,10000,2042043,10,2000054,1,0,0,0,0
,2042064,10000,2042054,10,2000064,1,0,0,0,0
,2042074,10000,2042064,10,2000074,1,0,0,0,0
,2042084,10000,2042074,10,2000084,1,0,0,0,0
,2043032,10000,2043021,10,0,0,0,0,0,0
,2043043,10000,2043032,10,0,0,0,0,0,0
,2043054,10000,2043043,10,2000054,1,0,0,0,0
,2043064,10000,2043054,10,2000064,1,0,0,0,0
,2043074,10000,2043064,10,2000074,1,0,0,0,0
,2043084,10000,2043074,10,2000084,1,0,0,0,0
,2044032,10000,2044021,10,0,0,0,0,0,0
,2044043,10000,2044032,10,0,0,0,0,0,0
,2044054,10000,2044043,10,2000054,1,0,0,0,0
,2044064,10000,2044054,10,2000064,1,0,0,0,0
,2044074,10000,2044064,10,2000074,1,0,0,0,0
,2044084,10000,2044074,10,2000084,1,0,0,0,0
,2051032,10000,2051021,10,0,0,0,0,0,0
,2051043,10000,2051032,10,0,0,0,0,0,0
,2051054,10000,2051043,10,2000054,1,0,0,0,0
,2051064,10000,2051054,10,2000064,1,0,0,0,0
,2051074,10000,2051064,10,2000074,1,0,0,0,0
,2051084,10000,2051074,10,2000084,1,0,0,0,0
,2052032,10000,2052021,10,0,0,0,0,0,0
,2052043,10000,2052032,10,0,0,0,0,0,0
,2052054,10000,2052043,10,2000054,1,0,0,0,0
,2052064,10000,2052054,10,2000064,1,0,0,0,0
,2052074,10000,2052064,10,2000074,1,0,0,0,0
