,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,string,string,string,uint32,uint32,uint32,string,uint32,string,uint32,string
,sceneID,spaceTriggerType,spaceCenter,spaceSize,spaceGranularity,sceneDynamicLoadSettingId,openDepth,shadowType,shadowColor,openIBL,indirectEnvColor,openGrab,envFog
备注,场景ID,场景触发类型,场景分割区域中心,场景分割区域大小,场景分割粒度,场景动态加载Id,是否开启深度渲染,阴影类型,阴影颜色,是否开启IBL,间接环境光照颜色,开启GrabTexture,环境雾效
,10,2,"-60.904,261.352,71.779","313.312,616.512,172.057","0,0,0,0",2,0,1,"0.6933962,0.7978024,1,1",0,,1,
,11,2,"0,17.352,-0.525","56.117,34.705,161.478","30,50,30,0",0,0,1,"0.5945176,0.6227366,0.754717,1",0,,0,
,12,2,"0,17.352,-0.525","56.117,34.705,161.478","30,50,30,0",0,0,1,,0,,0,
,19,0,"0,0,0","0,0,0",,0,0,1,,1,"0.576317,0.6680601,0.6302649,1",1,
,21,2,"-0.01,6.3,-80.5","251.9,27.41,329.2","40,1,50,0",1,1,1,,0,,1,
,24,0,"0,0,0","0,0,0",,0,0,1,,0,,0,
,27,2,"0,0,0","246.4,50,215.94","0,0,0,0",0,1,0,,0,,0,
,28,1,"450,0,150","50,50,50","0,0,0,0",0,0,0,,0,,0,
,31,2,"-4.691147,-4.41494,3.422791","202.8655,145.8897,222.2932","10,10,10,0",0,0,0,,0,,1,
,32,2,"-9.6071,6.756546,2.478897","123.9,21.3,78.9","0,0,0,0",0,0,1,,0,,0,
,33,2,"499.375,501.698,-25.699","1054.913,1006.966,143.176","10,10,10,0",0,0,1,,0,,0,
,34,2,"-123.7962,-1.110292,-140.5116","329.475,33.21905,333.8537","50,1,60,0",1,1,1,,0,,0,
,35,2,"215.65,10.519,-134.768","573.903,63.264,624.47","0,0,0,0",1,1,1,,0,,0,
,36,2,"-884.589,-591.23,918.818","2004.035,1346.033,2000.877","0,0,0,0",0,0,1,,0,,1,
,37,2,"10.107,4.566,-9.905","133.404,66.032,133.404","0,0,0,0",0,0,1,,0,,0,
,51,0,"0,0,0","0,0,0",,0,0,1,,1,"0.6334048,0.5144684,0.4704822,1",1,
,52,0,"0,0,0","0,0,0",,0,0,1,,1,"0.6481497,0.6753152,0.6388357,1",1,
