,required,required,required,required,required
,uint32,uint32,int32,uint32,uint32
,id,hero_id,unlock_level,chinese_id,japanese_id
备注,英雄id拼接音频索引,英雄id,解锁等级,中文的音频id,日文的音频id
,10101,101,0,72,195
,10102,101,0,32,196
,10103,101,0,76,197
,10104,101,0,33,198
,10105,101,0,77,199
,10106,101,0,34,200
,10107,101,0,73,201
,10108,101,0,74,202
,10109,101,0,75,203
,10151,101,0,1,204
,10152,101,1,2,205
,10153,101,2,181,206
,10154,101,3,3,207
,10155,101,4,4,208
,10156,101,6,5,209
,10157,101,8,70,210
,10201,102,0,130,308
,10202,102,0,131,309
,10203,102,0,28,310
,10204,102,0,136,311
,10205,102,0,132,312
,10206,102,0,53,313
,10207,102,0,133,314
,10208,102,0,134,315
,10209,102,0,135,316
,10301,103,0,92,247
,10302,103,0,93,248
,10303,103,0,94,249
,10304,103,0,95,250
,10305,103,0,42,251
,10306,103,0,43,252
,10307,103,0,44,253
,10308,103,0,96,254
,10309,103,0,97,255
,10310,103,0,98,256
,10351,103,0,91,257
,10401,104,0,68,297
,10402,104,0,123,298
,10403,104,0,25,299
,10404,104,0,128,300
,10405,104,0,129,301
,10406,104,0,124,302
,10407,104,0,125,303
,10408,104,0,126,304
,10409,104,0,127,305
,10451,104,3,26,306
,10452,104,6,27,307
,10501,105,0,100,258
,10502,105,0,45,259
,10503,105,0,46,260
,10504,105,0,180,261
,10505,105,0,101,262
,10506,105,0,102,263
,10507,105,0,103,264
,10508,105,0,104,265
,10509,105,0,105,266
,10551,105,0,18,267
,10552,105,3,19,268
,10553,105,6,20,269
,10554,105,8,99,270
,10601,106,0,147,332
,10602,106,0,148,333
,10603,106,0,55,334
,10604,106,0,56,335
,10605,106,0,57,336
,10606,106,0,58,337
,10607,106,0,59,338
,10608,106,0,149,339
,10609,106,0,150,340
,10651,106,0,29,341
,10652,106,2,71,342
,10701,107,0,151,343
,10702,107,0,60,344
,10703,107,0,61,345
,10704,107,0,62,346
,10705,107,0,152,347
,10706,107,0,153,348
,10707,107,0,154,349
,10708,107,0,155,350
,10751,107,0,189,351
,10752,107,2,30,352
,10801,108,0,114,271
,10802,108,0,107,272
,10803,108,0,108,273
,10804,108,0,115,274
,10805,108,0,116,275
,10806,108,0,109,276
,10807,108,0,110,277
,10808,108,0,111,278
,10809,108,0,112,279
,10810,108,0,113,280
,10851,108,0,106,281
,10852,108,2,21,282
,11101,111,0,168,375
,11102,111,0,169,376
,11103,111,0,170,377
,11104,111,0,171,378
,11105,111,0,172,379
,11106,111,0,173,380
,11107,111,0,174,381
,11108,111,0,175,382
,11109,111,0,176,383
,11201,112,0,156,356
,11202,112,0,157,357
,11203,112,0,158,358
,11204,112,0,63,359
,11205,112,0,64,360
,11206,112,0,162,361
,11207,112,0,159,362
,11208,112,0,160,363
,11209,112,0,161,364
,11251,112,0,192,365
,11301,113,0,163,367
,11302,113,0,164,368
,11303,113,0,65,370
,11304,113,0,167,371
,11305,113,0,66,374
,11306,113,0,165,372
,11307,113,0,166,373
,11401,114,0,177,385
,11402,114,0,178,386
,11451,114,0,179,387
,20101,201,0,79,212
,20102,201,0,80,213
,20103,201,0,35,214
,20104,201,0,36,215
,20105,201,0,37,216
,20106,201,0,38,217
,20107,201,0,39,218
,20108,201,0,81,219
,20109,201,0,82,220
,20110,201,0,83,221
,20151,201,0,78,222
,20152,201,0,7,223
,20153,201,1,8,224
,20154,201,2,9,225
,20155,201,4,10,226
,20156,201,5,11,227
,20157,201,6,182,228
,20158,201,7,12,229
,30101,301,0,84,231
,30102,301,0,40,232
,30103,301,0,41,233
,30104,301,0,89,234
,30105,301,0,85,235
,30106,301,0,90,236
,30107,301,0,86,237
,30108,301,0,87,238
,30109,301,0,88,239
,30151,301,0,183,240
,30152,301,1,14,241
,30153,301,2,184,242
,30154,301,3,185,243
,30201,302,0,118,283
,30202,302,0,119,284
,30203,302,0,120,285
,30204,302,0,47,286
,30205,302,0,48,287
,30206,302,0,49,288
,30207,302,0,50,289
,30208,302,0,51,290
,30209,302,0,121,291
,30210,302,0,122,292
,30251,302,0,117,293
,30252,302,1,22,294
,30253,302,3,23,295
,30254,302,6,24,296
,40101,401,0,69,318
,40102,401,0,137,319
,40103,401,0,138,320
,40104,401,0,54,321
,40105,401,0,145,322
,40106,401,0,143,323
,40107,401,0,144,324
,40108,401,0,146,325
,40109,401,0,139,326
,40110,401,0,140,327
,40111,401,0,141,328
,40112,401,0,142,329
