,required,required,required,required
,uint32,uint32,float,float
,id,audio_id,in_time,duration
备注,流水id,音频id,开始时间,持续时间
,181,12702,1,4
,182,12928,1.8,4.8
,183,12748,2.8,5.2
,184,12839,0,5
,185,12899,2,3
,186,13043,0,2
,187,12765,6.5,6
,188,12812,0,3
,189,13045,0,2
,190,12793,0,8.5
,191,11268,2.4,6.2
,192,12808,0,2.5
,193,12811,0,3
,194,12807,0,1.8
,195,690080,0,3.3
,196,600280,0,1.4
,197,690084,0,2.8
,198,600288,0,0.8
,199,690085,0,5.6
,200,600283,0,6.4
,201,690081,0,5.6
,202,690082,0,4
,203,690083,0,7.4
,204,12539,0,2.6
,205,12440,0,4.2
,206,12702,0,4.8
,207,11286,0,4.6
,208,11327,1,2.2
,209,10973,4.8,4.6
,210,10914,0,4.3
,211,11424,0,2.6
,212,690073,0,1.4
,213,600260,0,2.1
,214,600261,0,1.6
,215,690077,0,3.6
,216,600266,0,1.6
,217,690078,0,2.3
,218,690079,0,6
,219,690074,0,2.3
,220,690075,0,3.2
,221,690076,0,5.6
,222,13044,0,2.8
,223,10027,7.3,7.1
,224,10605,1.2,5.7
,225,12031,11.3,3.8
,226,12210,1.4,6.8
,227,11005,3.5,3.2
,228,12928,2.8,5.4
,229,10041,0,4.6
,230,12415,2.2,6.6
,231,690008,0,3.3
,232,600001,0,1.5
,233,600003,0,2
,234,690012,0,3.6
,235,600019,0,1.2
,236,690013,0,6.6
,237,690009,0,4.8
,238,690010,0,3.1
,239,690011,0,5.8
,240,12748,4,5.1
,241,10235,0,6
,242,12839,0,8
,243,12899,3,4.8
,244,12017,0,4.8
,245,11385,0,7
,246,11001,6.8,5.4
,247,600148,0,2
,248,690039,0,3.4
,249,690040,0,4
,250,600147,0,1.2
,251,600150,0,1
,252,600157,0,2.2
,253,600149,0,1.2
,254,690041,0,1.2
,255,690042,0,3.8
,256,690043,0,4.4
,257,12536,0,1.9
,258,690034,0,3.8
,259,600089,0,2.6
,260,600107,0,2.4
,261,600102,0,2.5
,262,690035,0,2.6
,263,600091,0,1.6
,264,690036,0,1.6
,265,690037,0,2.8
,266,690038,0,4
,267,11559,7.6,4.2
,268,11627,4.8,5
,269,10873,0,3
,270,11758,0,1.5
,271,600164,0,3.2
,272,690001,0,1.4
,273,600169,0,2.2
,274,690007,0,3
,275,600165,0,1.8
,276,690002,0,2.3
,277,690003,0,3
,278,690004,0,3.6
,279,690005,0,4.4
,280,690006,0,5.2
,281,12532,0,3
,282,11128,0,9.4
,283,690014,0,4.6
,284,690015,0,2.3
,285,600002,0,3.5
,286,600024,0,3
,287,600033,0,2.5
,288,600034,0,4.5
,289,600035,0,4
,290,600025,0,6
,291,690016,0,3
,292,690017,0,7.5
,293,12534,0,2
,294,11577,4.6,3.5
,295,11574,2,6.1
,296,11586,8.6,3.4
,297,600040,0,2.3
,298,690050,0,1.8
,299,600041,0,2.3
,300,600046,0,4.4
,301,600042,0,4.6
,302,690051,0,2.9
,303,690052,0,4.6
,304,690053,0,1.5
,305,690054,0,2.8
,306,11242,0,5.6
,307,11171,0,7.5
,308,690068,0,3.2
,309,690069,0,3.6
,310,600243,0,2
,311,600234,0,1.6
,312,600246,0,1.8
,313,600250,0,1
,314,690070,0,2.9
,315,690071,0,2.5
,316,690072,0,2.7
,317,13043,0,1.5
,318,600225,0,2.3
,319,600222,0,3.1
,320,690061,0,3
,321,600221,0,1.8
,322,600227,0,3.8
,323,600229,0,2.8
,324,690066,0,3.4
,325,600223,0,3.8
,326,690062,0,4.6
,327,690063,0,4
,328,690064,0,2.7
,329,690065,0,1
,330,12765,4.8,5.3
,331,12812,0,2.2
,332,690086,0,5.2
,333,690087,0,4
,334,600297,0,1.3
,335,600298,0,3
,336,600300,0,2.4
,337,600302,0,4.1
,338,600299,0,6.4
,339,690088,0,4
,340,690089,0,3.8
,341,11208,0,2.8
,342,11200,6.6,4.5
,343,690026,0,3.6
,344,690031,0,3.4
,345,690032,0,3.8
,346,690033,0,9.5
,347,690027,0,3.2
,348,690028,0,3
,349,690029,0,3.2
,350,690030,0,5.6
,351,13045,0,1.8
,352,11460,0,2.9
,353,11516,0,9.6
,354,12793,0,5.1
,355,11268,0,7
,356,690044,0,6
,357,600178,0,2.2
,358,690045,0,4.1
,359,600177,0,2.2
,360,600188,0,0.9
,361,690049,0,2.2
,362,690046,0,3.1
,363,690047,0,2.4
,364,690048,0,2.1
,365,12808,0,2.9
,366,12030,3.5,1.8
,367,690055,0,4
,368,690056,0,5.4
,369,12811,0,2.1
,370,600072,0,3.7
,371,690059,0,5.8
,372,690057,0,3.6
,373,690058,0,5.9
,374,690060,0,3
,375,690018,0,6.8
,376,690019,0,1.9
,377,690020,0,3.6
,378,600123,0,2.7
,379,690021,0,4.6
,380,690022,0,2.2
,381,690023,0,4.8
,382,690024,0,4.9
,383,690025,0,3.9
,384,12807,0,1.7
,385,600057,0,6.2
,386,690067,0,4.2
,387,12827,0,2
