,required,required,required,required,repeated,repeated,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,string,string,string,string
,id,hard,clew,boss_id,status1,status2,site1,site2,site3,site4
备注,副本id,副本难度,线索标记,怪物id,特性组1,特性组2,小怪3个坐标,小怪3个坐标,小怪3个坐标,小怪3个坐标
,3103,0,0,200513,1627;1611,1618;1621,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3104,1,1,200523,1641;1640,1616;1617,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3106,0,0,200528,1637;1606,1604;1620,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3107,1,1,200533,1631;1618,1605;1626,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3108,0,0,200538,1623;1636,1620;1626,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3110,0,0,200548,1622;1021,1637;1604,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3112,0,0,200558,1623;1636,1618;1621,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3113,0,1,200563,1605;1606,1031;1041,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3114,1,1,200568,1637;1631,1618;1621,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3115,0,0,200573,1622;1021,1637;1604,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3116,0,1,200578,1616;1617,1639;1610,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3163,0,0,200864,1641;1640,1616;1617,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3164,0,0,200869,1611;1041,1623;1610,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3165,0,1,200874,1637;1606,1604;1620,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3166,0,0,200879,1623;1636,1620;1626,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3167,1,1,200884,1639;1610,1620;1605,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3168,0,0,200889,1627;1611,1618;1621,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3169,0,1,200894,1604;1622,1606;1610,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3170,0,0,200899,1631;1011,1611;1031,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3171,0,0,200904,1616;1617,1639;1610,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3172,1,1,200909,1621;1623,1640;1626,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
