,required,required,optional,optional,optional,optional,optional,optional,optional,repeated,repeated,optional,repeated,optional,repeated,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,uint32,string,uint32,uint32
,id,name,attr_type,type,sex,family,profession,level,attr_id,special_effects,own_skills,skill_que,skill_vis,skill_loop_que,skill_que_vis,action_id
备注,怪物ID,注释,属性适配类型,怪物类型,性别,家族,职业类型,等级,怪物属性ID,特殊效果ID,拥有技能列表,技能序列,技能序列可见性,循环技能序列,循环技能序列可见性,效果ID
,1000840,噬盾领主霍普,0,2,1,4,1,48,1000840,,5201101;5201102;5201103,"0,1,0;0,0,2",0,"0,0;0,0,2;0,1;0,0;0,1,2,2",0,0
,1000850,剑豪领主拉希德,0,2,1,4,1,47,1000850,,10301;10302;10303;10304;10305;10306;10307,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
,1000860,鬼纹领主杰西法,0,2,1,6,2,52,1000860,,10601;10602;10603;10604;10605;10606;10607,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
,1000865,魅影领主苏姬,0,2,1,4,1,50,1000865,,1002201;1002202;1002203,"0,1,0;0,1,2",0,"0,1;0,1,2;1,0,1;0,1;1,0,2",0,0
,1000870,刺血领主爱丝,0,2,1,4,1,54,1000870,,1002101;1002102;1002103,"0,1,2;0,1,0",0,"0,1;0,0,2;0,1;1,2,0;0,1,1",0,0
,1000963,狂龙领主柏格,0,2,1,3,1,51,1000963,,1003801;1003802;1003803,"0,2;1,0,1,0;1,0,1,2",0,"0,2;1,0,1,0;1,2",0,0
,1000983,狮蛮领主艾凡,0,2,1,1,1,57,1000983,,11101;11102;11103;11104;11105;11106;11107,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
,1001705,荒域领主默克,0,2,1,5,1,58,1001705,,1005201;1005202;1005203,"0,1,2",0,"0,1,0;0,1,0,2;0,1,0;2,1,0;0,1,0",0,0
,1001715,蚀骨领主安波儿,0,2,1,6,2,60,1001715,,1005701;1005702;1005703;1005704,"2,3;0,1,2",0,"0,1,2;0,1;2,3;0,1;3,3",0,0
,1001725,暗龙领主兰森,0,2,1,6,1,62,1001725,,40101;40102;40103;40104;40105;40106;40107,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
,1001730,虚暝领主辛顿,0,2,1,6,2,63,1001730,,1003301;1003302;1003303,"0,1,2;0,0,1",0,"0,0,2;0,0,1;0,1",0,0
,1001735,极黯领主席德,0,2,1,3,1,64,1001735,,1003801;1003802;1003803,"0,2;1,0,1,0;1,0,1,2",0,"0,2;1,0,1,0;1,2",0,0
,1001740,裂魂领主伊鲁卡,0,2,1,3,2,65,1001740,,1001301;1001302;1001303,"0,1,2;1,0,1",0,"2,1,0;0,1,1;0,1,1;1,0,1,2",0,0
,1001745,奥爆领主休伊,0,2,1,4,1,66,1001745,,5201301;5201302;5201303,"1,1,2;0,0,1",0,"0,1,2;0,1,2,2;0,0,1;0,0,1",0,0
,1001750,鸦杀领主克里斯,0,2,1,6,1,67,1001750,,10701;10702;10703;10704;10705;10706;10707,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
