,required,required,required,required
,uint32,uint32,uint32,uint32
,id,monster_id,status_id,team
备注,任务id,核心怪物id,特性id,分组
,60211,1000836,1627,1
,60212,1000837,1611,1
,60213,1000838,1618,2
,60214,1000839,1621,2
,60221,1000846,1641,1
,60222,1000847,1640,1
,60223,1000848,1616,2
,60224,1000849,1617,2
,60226,1000851,1637,1
,60227,1000852,1606,1
,60228,1000853,1604,2
,60229,1000854,1620,2
,60231,1000856,1631,1
,60232,1000857,1618,1
,60233,1000858,1605,2
,60234,1000859,1626,2
,60236,1000861,1623,1
,60237,1000862,1636,1
,60238,1000863,1620,2
,60239,1000864,1626,2
,60241,1000866,1631,1
,60242,1000867,1011,1
,60243,1000868,1611,2
,60244,1000869,1031,2
,60251,1000959,1622,1
,60253,1000961,1637,2
,60254,1000962,1604,2
,60256,1000821,1623,1
,60257,1000822,1636,1
,60258,1000823,1618,2
,60259,1000824,1621,2
,60261,1000969,1605,1
,60262,1000970,1606,1
,60266,1000979,1637,1
,60267,1000980,1631,1
,60268,1000981,1618,2
,60269,1000982,1621,2
,60271,1000871,1622,1
,60273,1000873,1637,2
,60274,1000874,1604,2
,60276,1000876,1616,1
,60277,1000877,1617,1
,60278,1000878,1639,2
,60279,1000879,1610,2
,60357,1001701,1641,1
,60358,1001702,1640,1
,60359,1001703,1616,2
,60360,1001704,1617,2
,60362,1001706,1611,1
,60363,1001707,1041,1
,60364,1001708,1623,2
,60365,1001709,1610,2
,60367,1001711,1637,1
,60368,1001712,1606,1
,60369,1001713,1604,2
,60370,1001714,1620,2
,60372,1001716,1623,1
,60373,1001717,1636,1
,60374,1001718,1620,2
,60375,1001719,1626,2
,60377,1001721,1639,1
,60378,1001722,1610,1
,60379,1001723,1620,2
,60380,1001724,1605,2
,60382,1001726,1627,1
,60383,1001727,1611,1
,60384,1001728,1618,2
,60385,1001729,1621,2
,60387,1001731,1601,1
,60388,1001732,1622,1
,60389,1001733,1606,2
,60390,1001734,1610,2
,60392,1001736,1631,1
,60393,1001737,1011,1
,60394,1001738,1611,2
,60395,1001739,1031,2
,60397,1001741,1616,1
,60398,1001742,1617,1
,60399,1001743,1639,2
,60400,1001744,1610,2
,60402,1001746,1621,1
,60403,1001747,1623,1
,60404,1001748,1640,2
,60405,1001749,1626,2
