,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,3096001,混沌魔魂,3096,1,20614,0,1,0,0,0,0,0,"-237.97,-21.17,3.5",180,1
,3096002,觉醒魔魂,3096,1,20615,0,1,0,0,0,0,0,"-229.97,-21.17,3.5",180,1
,3096003,赤焰狼王,3096,1,20616,0,1,0,0,0,0,0,"-240.08,-21.14,47",180,1
,3096004,惩戒屠夫,3096,1,20617,0,1,0,0,0,0,0,"-231.32,-21.14,47",180,1
,3096005,炼狱之主,3096,1,20618,0,1,0,0,0,0,0,"-234.71,-12.67,88.56",180,1
,3096006,混沌魔魂,3096,2,200459,1,1,1,0,0,0,24,,0,1
,3096007,觉醒魔魂,3096,2,200460,2,1,1,0,0,0,24,,0,1
,3096008,赤焰狼王,3096,2,200461,3,1,1,0,0,0,24,,0,1
,3096009,惩戒屠夫,3096,2,200462,4,1,1,0,0,0,24,,0,1
,3096010,炼狱之主,3096,2,200463,5,1,1,0,0,0,24,,0,1
,3096012,怨灵墙,3096,4,1093,0,1,0,0,0,0,0,"-235.26,-21.17,11.90",180,1
,3096013,怨灵墙,3096,4,1093,0,1,0,0,0,0,0,"-236.03,-20.89,55.55",180,1
,3096014,混沌魔魂,3096,1,20619,0,1,0,0,0,0,0,"-237.97,-21.17,3.5",180,1
,3096015,觉醒魔魂,3096,1,20620,0,1,0,0,0,0,0,"-229.97,-21.17,3.5",180,1
,3096016,赤焰狼王,3096,1,20621,0,1,0,0,0,0,0,"-240.08,-21.14,47",180,1
,3096017,惩戒屠夫,3096,1,20622,0,1,0,0,0,0,0,"-231.32,-21.14,47",180,1
