,id,name,des,functionDes,shop_des
备注,id,名称,描述,功能描述,商城功能描述
,1,罗兰钻,仅限帝国官方开采的稀有矿石，闪着魔法之光。,可用于签收风迹速递，以及购买干劲。,可用于签收风迹速递，以及购买干劲。
,610012,蓝色本命刻纹,神秘的纹石上刻有本命的往昔经历，似乎能以此缔结与本命的誓约。,集齐5个该刻纹，可随机合成1个R级别本命。,集齐5个该刻纹，可随机合成1个R级别本命。
,610013,紫色本命刻纹,神秘的纹石上刻有本命的往昔经历，似乎能以此缔结与本命的誓约。,集齐20个该刻纹，可随机合成1个SR级别本命。,集齐20个该刻纹，可随机合成1个SR级别本命。
,610014,橙色本命刻纹,神秘的纹石上刻有本命的往昔经历，似乎能以此缔结与本命的誓约。,集齐30个该刻纹，可随机合成1个SSR级别本命。,集齐30个该刻纹，可随机合成1个SSR级别本命。
,610022,蓝色符文原晶,靛蓝色的晶石，在世界各地均有发现，是制成符文的关键材料。,集齐5个该符文，可随机合成1个蓝色符文。,集齐5个该符文，可随机合成1个蓝色符文。
,610023,紫色符文原晶,绛紫色的晶石，在秘境深处才会发现，是制成符文的关键材料。,集齐8个该符文，可随机合成1个紫色符文。,集齐8个该符文，可随机合成1个紫色符文。
,610024,橙色符文原晶,橙金色的晶石，在常人难以抵达的地域中才有可能发现，是制成符文的关键材料。,集齐10个该符文，可随机合成1个橙色符文。,集齐10个该符文，可随机合成1个橙色符文。
,5000012,蓝萤晶魄,散发着淡淡蓝色荧光的水晶，送给女孩子的话，她们应该会很开心哦。,<color=#bd4104>蓝萤晶魄</color>蕴含的魔力，可使5个<color=#bd4104>蓝色符文</color>进阶合成为随机<color=#bd4104>紫色符文</color>。 ,<color=#bd4104>蓝萤晶魄</color>蕴含的魔力，可使5个<color=#bd4104>蓝色符文</color>进阶合成为随机<color=#bd4104>紫色符文</color>。 
,5000023,紫影晶魄,产自白瑙湖畔，因晶体内有淡淡紫影而闻名。,<color=#bd4104>紫影晶魄</color>蕴藏的魔力，可使4个<color=#bd4104>紫色符文</color>进阶合成为随机<color=#bd4104>橙色符文</color>。,<color=#bd4104>紫影晶魄</color>蕴藏的魔力，可使4个<color=#bd4104>紫色符文</color>进阶合成为随机<color=#bd4104>橙色符文</color>。
,5000034,橙沙晶魄,传说只会在特定时节才凝结而成的水晶，它是极为独特的存在。,<color=#bd4104>橙沙晶魄</color>蕴含的魔力，可使3个<color=#bd4104>橙色符文</color>等阶合成为随机<color=#bd4104>橙色符文</color>。 ,<color=#bd4104>橙沙晶魄</color>蕴含的魔力，可使3个<color=#bd4104>橙色符文</color>等阶合成为随机<color=#bd4104>橙色符文</color>。 
