,id,name,desc
备注,id,名字,描述
圣界来袭活动,36,圣界来袭活动,可在“圣界来袭活动”中获得
每日速递,37,每日速递,可在“每日速递”中获得
签到,38,签到,可在“签到”中获得
每日必做,39,每日必做,可在“每日必做”中获得
新手7日目标活动,40,新手7日目标活动,可在“新手7日目标活动”中获得
新手14日签到活动,41,新手14日签到活动,可在“新手14日签到活动”中获得
14日循环活动,42,14日循环活动,可在“14日循环活动”中获得
装备合成,43,装备合成,可通过装备合成获得
黄金怪活动,44,黄金怪活动,可在“黄金怪活动”中获得
魔物入侵活动,45,魔物入侵活动,可在“魔物入侵活动”中获得
符文合成,46,符文合成,可通过符文合成获得
普通副本1,47,饿狼巢穴,可在“饿狼巢穴”副本中获得
普通副本2,48,玫瑰团驻地,可在“玫瑰团驻地”副本中获得
普通副本3,49,哥布林巢穴,可在“哥布林巢穴”副本中获得
普通副本4,50,诡异的左相府,可在“诡异的左相府”副本中获得
普通副本5,51,露西蒂尼之墓,可在“露西蒂尼之墓”副本中获得
普通副本6,52,哀嚎神殿,可在“哀嚎神殿”副本中获得
普通副本7,53,魔族之心,可在“魔族之心”副本中获得
普通副本8,54,荒原古堡,可在“荒原古堡”副本中获得
普通副本9,55,沙海虫巢,可在“沙海虫巢”副本中获得
普通副本10,56,黑锤塞垒,可在“黑锤塞垒”副本中获得
普通副本11,57,银母矿洞,可在“银母矿洞”副本中获得
普通副本12,58,凋零之地,可在“凋零之地”副本中获得
普通副本13,59,树心城,可在“树心城”副本中获得
普通副本14,60,失事飞船,可在“失事飞船”副本中获得
普通副本15,61,枭鹰矿洞,可在“枭鹰矿洞”副本中获得
普通副本16,62,枭鹰邦域,可在“枭鹰邦域”副本中获得
普通副本17,63,神迹实验室,可在“神迹实验室”副本中获得
