,required,required,required,required
,uint32,uint32,string,string
,type,sort,path_normal,path_complete
备注,任务类型,优先级,普通图标路径,完成图标路径
,1,1,Textures\Atlas\GUI\[CommonBase]\icon_zhuxian.png,Textures\Atlas\GUI\[CommonBase]\icon_task_finish.png
,2,2,Textures\Atlas\GUI\[CommonBase]\icon_qiyu.png,Textures\Atlas\GUI\[CommonBase]\icon_task_finish.png
,3,3,Textures\Atlas\GUI\[CommonBase]\icon_zilvlianmeng.png,Textures\Atlas\GUI\[CommonBase]\icon_task_finish.png
,4,4,Textures\Atlas\GUI\[CommonBase]\icon_task.png,Textures\Atlas\GUI\[CommonBase]\icon_task_finish.png
,5,5,Textures\Atlas\GUI\[CommonBase]\icon_zilvlianmeng.png,Textures\Atlas\GUI\[CommonBase]\icon_task_finish.png
,6,6,Textures\Atlas\GUI\[CommonBase]\icon_zilvlianmeng.png,Textures\Atlas\GUI\[CommonBase]\icon_task_finish.png
,7,7,Textures\Atlas\GUI\[CommonBase]\icon_fubenrenwu.png,Textures\Atlas\GUI\[CommonBase]\icon_task_finish.png
,8,8,Textures\Atlas\GUI\[CommonBase]\icon_zilvlianmeng.png,Textures\Atlas\GUI\[CommonBase]\icon_task_finish.png
,9,9,Textures\Atlas\GUI\[CommonBase]\icon_zhixian.png,Textures\Atlas\GUI\[CommonBase]\icon_task_finish.png
,10,10,Textures\Atlas\GUI\[CommonBase]\icon_details.png,Textures\Atlas\GUI\[CommonBase]\icon_task_finish.png

