,id,name,des,cv,tags,full_name,introduction
备注,英雄ID,英雄名字,职业描述,配音员,英雄标签,全名,英雄介绍
,101,西蒙,战士,阿杰,物理型;破甲重击;逆转反击,西蒙·奥兹,<line-indent=2em>西蒙是罗兰帝国奥兹家族的次子。受到家族的影响，西蒙从小就对剑技有着强烈的喜好，并将“成为帝国第一剑士”作为了自己的梦想。而哥哥兰奇的训练，更让西蒙的剑技水平远超同龄人。
,111,迪罗赞,,张树彬,物理型;盾卫强化;护盾武装击,迪罗赞·阿斯特拉,<line-indent=2em>迪罗赞曾是普鲁斯特地区兽人部落国的王，但纳雅人将大地升上天空的计划，却让他的王国分崩离析，他也因此下落不明。然而，百年之后，他却带着改造为机械的四肢，再次现身于大地之上。
,112,米兰达,战士,伤洛,物理型;暴击强袭;领袖指引,米兰达·E·格特鲁格,<line-indent=2em>米兰达是天空城少见的女性高级将领。作为军人，米兰达强悍，坚定，严肃，行动力强。无论是单兵作战还是指挥舰队，都极为出色，是一位优秀的将领。
,113,纳塔娜,,钱琛,魔法型;扑克魔术;魔法强化,纳塔娜·拉比纳,<line-indent=2em>魔耳朵马戏团的第二代团长纳塔娜，是一位有着优秀魔法造诣的魔术师。她有着优秀的魔法天赋，并通过各种方式研究魔法，将其与魔术手法相互结合，最终创造出了独属于她的魔法。
,114,萨米尔,,啄鱼,物理型;怒刃暴击;生命压制,萨米尔·盖乌斯,<line-indent=2em>萨米尔的母亲是精灵，父亲是兽族，这使他从小便遭遇排斥与霸凌。随着年龄增长，他离开部落外出游荡，犯下累累重罪。最终，他与乔伊相遇，加入圣界，成为了圣界的一员。
,201,温丽,法师,山新,魔法型;祭典轰焰;魔法炮台,温丽·芙蕾雅,<line-indent=2em>温丽是芙蕾雅家族的大小姐，是现任帝国大学士，帝国最强魔法师特罗德·芙蕾雅的孙女。在很小的时候，她便展现了惊人的天赋，在爷爷的建议下进入了魔法学院，取得了优秀的成绩。
,301,爱琳娜,法师,小连杀,物理型;绝地反击;破甲重击,爱琳娜·贝拉米,<line-indent=2em>爱琳娜曾是奇迹学院的学生，而在毕业后，为了寻找被掳走的妹妹，爱琳娜加入自律联盟成为了一位赏金猎人，靠完成赏金任务、领取赏金为生。她坚信，自己总有一天会找到家人。
,102,泰雷,战士,钱文清,物理型;连斩爆发;攻守兼备,泰雷·卡兰登,<line-indent=2em>作为卡诺萨城的禁卫军军团长，泰雷不仅肩负着卡诺萨城周边的安全，更承担着守护神器·光明使者的职责。在神器·光明使者被兰奇夺走后，他开始了漫长的调查工作，竭尽全力，只为找出真相。
,302,爱琪,法师,C小调,魔法型;闪避聚能;少女的敌意,爱琪·贝拉米,<line-indent=2em>在从盗贼手中顺利逃脱之后，爱琪被镶金玫瑰团的团长发现，成为了镶金玫瑰团的一员。虽然平时待人略显高傲，不近人情，但爱琪实际上对自己的伙伴相当重视——只要不弄坏她喜欢的东西的话。
,103,兰奇,战士,涂鸦,物理型;化苦痛为力量;伤害共承,兰奇·奥兹,<line-indent=2em>作为奥兹家族的代任家主，兰奇是一个天才。他理智且善于思考，解谜是他消磨时光的小小爱好。剑技高超的他，为帝国的安全作出了卓绝的贡献。因此，兰奇为何会选择叛变，便成了现阶段帝国最大的谜团。
,104,木禅,战士,钱文清,物理型;伤害反弹;藤蔓禁锢,木禅,<line-indent=2em>木禅是树人族的战士。自觉醒自我意识以来，木禅便遵循着部族的生活习惯，将沉稳、自律作为自己的戒律，并将其纳入了自己的武技修行之中。
,106,檐鬼,法师,叮当,魔法型;技能封锢;暗影掩护,阿贾克斯·弗朗西斯,<line-indent=2em>檐鬼，真名阿贾克斯·弗朗西斯，原帝国军情处行动组最高负责人。然而，在某次前往泰拉弗尔的行动中，他似乎遭遇了同僚的背叛。在那之后，他便叛离了帝国，成为了圣界的一员。
,105,葛莱蒂丝,法师,朔小兔,魔法型;连击的艺术;疾风之矢,葛莱蒂丝·寻风者,<line-indent=2em>作为树心城精灵的公主殿下，从诞生到这个世界上起，葛莱蒂丝便被精灵女王用严苛的戒律管教。除去严苛的学习任务，葛莱蒂丝还师从树心城首席神箭手弗蕾，习得了一手精准的箭技。
,107,夜崎隐,战士,叮当,物理型;风林火山;弑魂处决,夜崎隐,<line-indent=2em>没人知道夜崎隐的真实身份，只知道他自称来自东洲。但可以确定的是，从故乡来到艾恩大陆的旅途中，夜崎隐为了“自己的乐趣”，挑起了多次斗争，为自己树敌无数。
,108,阿德琳,法师,四刀辉彰,魔法型;形态转换;萌熊特攻,阿德琳·贝尔,<line-indent=2em>阿德琳作为德鲁伊部族族长的女儿，虽总是面无表情，给人沉静如雪的错觉，但身为德鲁伊族天生自带的野性，使得阿德琳相当喜欢冒险。对她而言，古加尼尔大森林就如同自家的后院一般熟悉。
,401,乔伊,战士,大鲲,物理型;暗龙主宰;状态抹除,乔伊·德拉科,<line-indent=2em>乔伊是生活于龙息古地的暗黑龙的龙骑士。然而，自由战争时期，乔伊见识到了魔神无与伦比的力量，并被其深深吸引，最终叛离了龙族，向魔神献上了忠诚。
