,required,required,required
,uint32,uint32,string
,type,sort,path
备注,任务类型,优先级,图标路径
,2,2,Textures\Atlas\GUI\[CommonBase]\icon_qiyu.png
,3,3,Textures\Atlas\GUI\[CommonBase]\icon_zilvlianmeng.png
,4,4,Textures\Atlas\GUI\[CommonBase]\icon_task.png
,5,5,Textures\Atlas\GUI\[CommonBase]\icon_zilvlianmeng.png
,6,6,Textures\Atlas\GUI\[CommonBase]\icon_zilvlianmeng.png
,7,7,Textures\Atlas\GUI\[CommonBase]\icon_fubenrenwu.png
,8,8,Textures\Atlas\GUI\[CommonBase]\icon_zilvlianmeng.png
,9,9,Textures\Atlas\GUI\[CommonBase]\icon_zhixian.png
,10,10,Textures\Atlas\GUI\[CommonBase]\icon_details.png
