,required,required,optional,required,required,required,required,optional,required,repeated,repeated,required,repeated,required,repeated,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,uint32,string,uint32,uint32
,id,name,attr_type,type,sex,family,profession,level,attr_id,special_effects,own_skills,skill_que,skill_vis,skill_loop_que,skill_que_vis,action_id
备注,怪物ID,注释,属性适配类型,怪物类型,性别,家族,职业类型,等级,怪物属性ID,特殊效果ID,拥有技能列表,技能序列,技能序列可见性,循环技能序列,循环技能序列可见性,效果ID
,1000736,贝希摩斯2号,0,0,1,6,2,47,1000736,1606,1005801;1005802,"0,0,1",0,"0,0,1",0,0
,1000834,伊甸傀从,0,0,1,6,2,45,1000834,1031,1005801;1005802,"0,0,1",0,"0,0,1",0,0
,1001281,受惊的僵尸,204,0,1,3,2,0,1001281,,1004501;1004502,"0,1,1;1,0,1,0;0,1",0,"1,0,1,0,1;0,1,0;1,0,1",0,0
,1001282,受惊的僵尸,204,0,1,3,2,0,1001282,,1004501;1004502,"0,1,1;1,0,1,0;0,1",0,"1,0,1,0,1;0,1,0;1,0,1",0,0
,9000276,伊甸傀从,0,0,1,6,2,45,9000276,1031,1005801;1005802,"0,0,1",0,"0,0,1",0,0
,9000277,贝希摩斯1号,0,1,1,7,1,47,9000277,1606,1001601;1001602;1001603,"0,1,2",0,"0,1,0,2;0,1,2",0,0
,9000278,希波,0,2,1,4,1,47,9000278,1041;1606,1001601;1001602;1001603,"0,1,2",0,"0,1,0,2;0,1,2",0,0
