,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,string,uint32,uint32,string,uint32,uint32,float,uint32,int32,string,string
,id,sceneId,regionSize,shapeType,type,name,plowlevel,glowlevel,scale,lookfaceId,background,des,uiPos
备注,NPC组Id,关卡Id,区域大小,区域形状,NPC组类型(1npc/building/box/map/5copy/6transfor/7trap/8采集),名字,触发交互界面等级,npc群组最低等级,尺寸,外形id,NPC群组聊天背景,描述,（相对位置）建筑等或无模型类型UI名称位置
,54032,2008,,0,4,四片区→二片区,0,0,1,0,0,,
,54033,2008,,0,4,暗道上→暗道下,0,0,1,0,0,,
,54034,2008,,0,4,暗道下→暗道上,0,0,1,0,0,,
,54035,2008,,0,4,暗崖→鹿角帝国,0,0,1,0,0,,
,54036,2008,,0,4,鹿角帝国→暗崖,0,0,1,0,0,,
,54037,2003,,0,4,二片区→四片区,0,0,1,0,0,,
,57019,2008,,0,6,辉麟堡,0,0,1,1000,0,,
,57020,2008,,0,6,神法遗迹,0,0,1,1000,0,,
,57021,2008,,0,6,暗崖边陲,0,0,1,1000,0,,
,57022,2008,,0,6,骨沼战阵,0,0,1,1000,0,,
