,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,20030677,二片区→四片区,2003,1,54037,0,1,0,0,0,0,0,"-242.26,0.09,-284.35",0,1
,20080021,四片区→二片区,2008,1,54032,0,1,0,0,0,0,0,"-21.57,-2.40,30.78",0,1
,20080022,暗道上→暗道下,2008,1,54033,0,0,0,0,0,0,0,"-64.27,-2.40,36.69",0,1
,20080023,暗道下→暗道上,2008,1,54034,0,0,0,0,0,0,0,"-70.85,-16.06,61.17",0,1
,20080024,暗崖→鹿角帝国,2008,1,54035,0,0,0,0,0,0,0,"-96.68,-39.61,191.77",0,1
,20080025,鹿角帝国→暗崖,2008,1,54036,0,0,0,0,0,0,0,"-96.80,-163.21,191.01",0,1
,20080026,辉麟堡,2008,1,57019,0,0,0,0,0,0,0,"-105.8,0.13,2.37",45,1
,20080027,神法遗迹,2008,1,57020,0,0,0,0,0,0,0,"-104.7,-0.06,-36.24",-15,1
,20080028,暗崖边陲,2008,1,57021,0,0,0,0,0,0,0,"-84.3,-33.8,109.7",-30,1
,20080029,骨沼战阵,2008,1,57022,0,0,0,0,0,0,0,"-71.90,-39.61,133.12",0,1
