,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,string,uint32,uint32,string,uint32,uint32,float,uint32,int32,string,string
,id,sceneId,regionSize,shapeType,type,name,plowlevel,glowlevel,scale,lookfaceId,background,des,uiPos
备注,NPC组Id,关卡Id,区域大小,区域形状,NPC组类型(1npc/building/box/map/5copy/6transfor/7trap/8采集),名字,触发交互界面等级,npc群组最低等级,尺寸,外形id,NPC群组聊天背景,描述,（相对位置）建筑等或无模型类型UI名称位置
,10004,2001,,0,2,湖畔镇教堂,0,0,1,0,22,,"-1,4.29,1"
,10005,2001,"5,3,3",1,2,教堂储物室,0,0,1,0,0,,"-1,2,0"
,10006,2001,"4,4,4",0,2,湖畔镇旅馆,0,0,1,0,34,,"0.712,3.067,-0.054"
,10010,2001,"4,4,4",1,2,罗兰镇政务厅,0,0,1,0,15,,"0,3,0"
玛瑙街32号,10011,2003,,0,2,玛瑙街32号,0,0,1,0,14,,"0,2.21,0"
,10013,2003,,0,2,黄胡子特饮店,0,0,1,0,35,,"0,0,-4"
,10014,2001,,0,2,风车内,0,0,1,0,0,,"1.5,3,0"
,10019,2001,,0,2,欧姆的家,0,0,1,0,0,,"0,3,0"
,10021,2005,,0,2,案发现场,0,0,1,0,22,,"0,2,0"
,10023,2001,"5,5,5",0,2,佣兵乌奇的家,0,0,1,0,0,,"-1,4,0"
特罗德的书房,10024,1000,,0,2,,0,0,1,0,0,,"0,3,0"
特罗德的书房,10026,1000,,0,2,,0,0,1,0,0,,"0,3,0"
,10027,2001,,0,2,三色堇花店,0,0,1,0,52,,"-0.75,3.5,0"
,10028,2001,,0,2,风车内,0,0,1,0,0,,"1.5,3,0"
,10029,2003,,0,2,营地帐篷,0,0,1,0,55,,"1,3,0"
,10030,2003,,0,2,营地帐篷,0,0,1,0,55,,"1,3.4,0"
,10031,2003,,0,2,埃尼奥的帐篷,0,0,1,0,54,,"1,3.5,0"
,10032,1000,"5,3,3",1,2,,0,0,1,0,0,,"-1,2,0"
,10033,1000,,0,2,,0,0,1,0,0,,"0,3,0"
,10034,1000,,0,1,,0,0,1,0,0,,"1,3.5,0"
酒馆,10035,1000,,0,2,,0,0,1,0,34,,"-1.5,3,0"
酒馆,10036,1000,,0,2,,0,0,1,0,34,,"0,3,0"
,10037,2001,,0,2,铁匠铺,0,0,1,0,54,,"0,3,0"
,12001,2001,"4,4,4",0,2,左相府邸,0,0,1,0,36,,"1.5,5,0"
,12002,2001,,0,2,左相藏书室,0,0,1,0,12,,"0,3,0"
,20000,2001,,0,1,抢劫的居民,0,0,1,103,0,,
,20006,2001,,0,1,卫兵,0,0,1,103,0,,
,20007,2001,,0,1,库伯拉长老,0,0,1,103,0,,
,20008,2001,,0,1,哥布林小贼,0,0,1,103,0,,
,20009,2001,,0,1,哥布林小怪,0,0,1,103,0,,
