,required,optional,optional,optional,optional
,uint32,string,string,string,uint32
,id,path,tiny_path,approach,red_flag
备注,物品id,图标路径,小图标路径,来源,是否一直显示红点
,1,Textures/Atlas/Dyn/Item/1.png,Textures/Atlas/Dyn/ItemTiny/1.png,5000;403;9000,0
,2,Textures/Atlas/Dyn/Item/2.png,Textures/Atlas/Dyn/ItemTiny/2.png,100,0
,3,Textures/Atlas/Dyn/Item/3.png,Textures/Atlas/Dyn/ItemTiny/3.png,602;302;1,0
,4,Textures/Atlas/Dyn/Item/4.png,Textures/Atlas/Dyn/ItemTiny/4.png,601,0
,5,Textures/Atlas/Dyn/Item/5.png,Textures/Atlas/Dyn/ItemTiny/5.png,3,0
,6,Textures/Atlas/Dyn/Item/6.png,Textures/Atlas/Dyn/ItemTiny/6.png,1,0
,8,Textures/Atlas/Dyn/Item/8.png,Textures/Atlas/Dyn/ItemTiny/8.png,601,0
,9,Textures/Atlas/Dyn/Item/7.png,,4,0
,10,Textures/Atlas/Dyn/Item/10.png,Textures/Atlas/Dyn/ItemTiny/10.png,403;402;10001,0
,11,Textures/Atlas/Dyn/Item/11.png,,1,0
,12,Textures/Atlas/Dyn/Item/12.png,Textures/Atlas/Dyn/ItemTiny/12.png,501;502;503,0
,13,Textures/Atlas/Dyn/Item/13.png,Textures/Atlas/Dyn/ItemTiny/13.png,9004,0
,14,Textures/Atlas/Dyn/Item/14.png,Textures/Atlas/Dyn/ItemTiny/14.png,1005,0
,15,Textures/Atlas/Dyn/Item/15.png,Textures/Atlas/Dyn/ItemTiny/15.png,9003,0
,16,Textures/Atlas/Dyn/Item/16.png,Textures/Atlas/Dyn/ItemTiny/16.png,9000,0
,17,Textures/Atlas/Dyn/Item/17.png,Textures/Atlas/Dyn/ItemTiny/17.png,1,0
,18,Textures/Atlas/Dyn/Item/18.png,Textures/Atlas/Dyn/ItemTiny/18.png,9001,0
,19,Textures/Atlas/Dyn/Item/19.png,Textures/Atlas/Dyn/ItemTiny/19.png,9002,0
,21,Textures/Atlas/Dyn/Item/6.png,,401;402;403,0
,101,Textures/Atlas/Dyn/Item/101.png,,801,0
,102,Textures/Atlas/Dyn/Item/102.png,,801,0
,103,Textures/Atlas/Dyn/Item/103.png,,801,0
,120012,Textures/Atlas/Dyn/Item/120012.png,Textures/Atlas/Dyn/ItemTiny/120012.png,901;1000,0
,120013,Textures/Atlas/Dyn/Item/120013.png,Textures/Atlas/Dyn/ItemTiny/120013.png,10001;10002,0
,120033,Textures/Atlas/Dyn/Item/120033.png,,0,0
,201000,Textures/Atlas/Dyn/Item/201000.png,,1,0
,201001,Textures/Atlas/Dyn/Item/201001.png,,1,0
,201002,Textures/Atlas/Dyn/Item/201002.png,,1,0
,201003,Textures/Atlas/Dyn/Item/201003.png,,1,0
,201004,Textures/Atlas/Dyn/Item/201004.png,,1,0
,202000,Textures/Atlas/Dyn/Item/202000.png,,1,0
,202001,Textures/Atlas/Dyn/Item/202001.png,,1,0
,202002,Textures/Atlas/Dyn/Item/202002.png,,1,0
,202003,Textures/Atlas/Dyn/Item/202003.png,,1,0
,202004,Textures/Atlas/Dyn/Item/202004.png,,1,0
,203000,Textures/Atlas/Dyn/Item/203000.png,,1,0
,203001,Textures/Atlas/Dyn/Item/203001.png,,1,0
,203002,Textures/Atlas/Dyn/Item/203002.png,,1,0
,203003,Textures/Atlas/Dyn/Item/203003.png,,1,0
,203004,Textures/Atlas/Dyn/Item/203004.png,,1,0
