,required,required,required,required
,uint32,uint32,uint32,uint32
,id,approach_skip,data1,data2
备注,来源id,跳转的界面功能id,数据1,数据2
,100,0,0,0
,201,710,0,0
,202,720,0,0
,301,1610,0,0
,302,1660,0,0
,303,1650,0,0
,304,1630,0,0
,401,0421,0,0
,402,0422,0,0
,403,0423,0,0
,500,1300,0,0
,501,0,0,0
,502,1311,0,0
,503,0,0,0
,601,1500,0,0
,602,1500,0,0
,603,1500,0,0
,700,2500,0,0
,701,2500,0,0
,702,2500,0,0
,703,2500,0,0
,801,0,0,0
,802,0,0,0
,901,1800,0,0
,902,1000,0,0
,1000,2600,0,0
,1001,1200,0,0
,1002,0,0,0
,1003,0,0,0
,1004,0,0,0
,1005,0,0,0
,5000,0,0,0
,6000,0,0,0
,7000,2200,0,0
,7001,2201,0,0
,7002,2202,0,0
,7003,2203,0,0
,7004,2204,0,0
,7005,2205,0,0
,7006,2206,0,0
,7007,2207,0,0
,7008,2208,0,0
,7009,2209,0,0
,7010,2210,0,0
,7011,2211,0,0
,7012,2212,0,0
,7013,2213,0,0
,7014,2214,0,0
,7015,2215,0,0
,7016,2216,0,0
,7017,2217,0,0
,7018,2218,0,0
,7019,2219,0,0
,7020,2220,0,0
,9000,1400,0,0
,9001,3000,0,0
,9002,3100,0,0
,9003,0,0,0
,9004,2900,0,0
,9005,0,0,0
,9006,0,0,0
,10001,2300,0,0
,10002,2400,0,0
