,required,required,required,required,repeated,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,fight,multi_boss,monster,money,user_exp,hero_exp,exp_ball,reward_id,action_id,max_battle_time,battle_check,attack_status_id,fight_type
备注,ID,备注,战力,多人boss,怪物id,掉落金币,战队经验,英雄经验,经验球经验,奖励id,事件id,战斗限时,战斗检测,偷袭状态,战斗力压制算法类型
,200675,狂妄的恶狼盗匪,1,0,1000992,0,0,0,0,0,0,600000,0,1,0
,200676,勤恳的萤熊佣兵,1,0,1000993,0,0,0,0,0,0,600000,0,1,0
,200677,贪婪的恶狼盗匪,1,0,1000994,0,0,0,0,0,0,600000,0,0,0
,200678,狂妄的恶狼盗匪,1,0,1000995,0,0,0,0,0,0,600000,0,1,0
,200679,勤恳的萤熊佣兵,1,0,1000996,0,0,0,0,0,0,600000,0,1,0
,200680,狂妄的恶狼盗匪,1,0,1000997,0,0,0,0,0,0,600000,0,1,0
,200681,勤恳的萤熊佣兵,1,0,1000998,0,0,0,0,0,0,600000,0,1,0
