,required,required
,uint32,uint32
,approach_id,deblocking_id
备注,跳转id,解锁id
英雄列表主界面,200,0
装备强化,203,5
装备升星,204,0
装备进阶,205,6
技能升级,206,8
符文镶嵌,207,9
英雄好感度,208,2
本命助力,209,11
悬赏界面,410,26
自律联盟（四个npc头像的）,420,26
自律联盟巡查,421,26
自律联盟委托,422,26
自律联盟悬赏,423,26
传送目标选择,600,0
本命占卜,710,14
英雄占卜,720,14
本命界面,800,11
本命升级,801,12
本命升星,802,13
竞技场,900,0
骑士考核,1100,19
每日必做,1200,29
公会,1300,17
公会活动,1310,17
公会悬赏,1311,17
温丽梦境,1400,28
每日副本,1500,27
商城界面,1600,23
公会商城,1610,17
本命商城,1620,14
英雄商城,1630,14
竞技场商城,1640,23
骑士商城,1650,19
梦境小铺,1660,28
第一个商店,1670,23
速递商店,1680,14
编队界面,1700,16
好友宝箱,1800,22
好友列表,1900,21
限时活动,2000,34
14日循环活动,2010,0
充值月卡,2100,0
周回副本,2200,38
周回副本子界面,2201,38
周回副本子界面,2202,38
周回副本子界面,2203,38
周回副本子界面,2204,38
周回副本子界面,2205,38
周回副本子界面,2206,38
周回副本子界面,2207,38
周回副本子界面,2208,38
周回副本子界面,2209,38
周回副本子界面,2210,38
周回副本子界面,2211,38
周回副本子界面,2212,38
周回副本子界面,2213,38
周回副本子界面,2214,38
周回副本子界面,2215,38
周回副本子界面,2216,38
周回副本子界面,2217,38
周回副本子界面,2218,38
周回副本子界面,2219,38
周回副本子界面,2220,38
新人登入福利,2300,36
开服放送庆典,2400,36
多人副本,2500,25
每日签到,2600,36
成就,2700,36
等级奖励,2800,36
黯月事件簿,2900,32
圣界来袭宣传界面,3000,24
王牌通缉界面,3100,39
训练场界面,3200,34
世界地图,3300,0
体力回复弹窗,3400,26
