,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,int64,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,id,life,phy_atk,mgc_atk,phy_def,mgc_def,life_add,phy_atk_add,mgc_atk_add,phy_def_add,mgc_def_add,hit_rate,dodge_rate,critical_rate,critical_dmg,critical_def,parry_rate,parry_def,hitbreak_rate,hitback_xp,dmg_add,dmg_cut,ice_atk,fire_atk,dark_atk,light_atk,ice_def,fire_def,light_def,dark_def
备注,属性id,生命值,物理攻击,魔法攻击,物理防御,魔法防御,生命加成,物攻加成,魔攻加成,物防加成,魔防加成,命中率,闪避率,暴击率,暴击伤害,抗爆率,格挡率,格挡减伤,破击率,受击回复xp,伤害加成,伤害减免,冰元素伤害,火元素伤害,暗元素伤害,光元素伤害,冰元素抗性,火元素抗性,光元素抗性,暗元素抗性
,9000071,30384,2532,2532,1012,1012,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000072,119192,2671,2671,1068,1068,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000073,102165,2671,2671,1068,1068,0,0,0,0,0,10000,500,2500,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000130,105837,2767,2767,1106,1106,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000131,88197,2767,2767,1106,1106,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000132,90205,2830,2830,1132,1132,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,9000133,108246,2830,2830,1132,1132,0,0,0,0,0,10000,500,1000,5000,500,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
