,id,Name,Intention,countdown_des,talks,detailDes
备注,任务id,任务标题,任务目标,描述,护送Npc喊话组(以$$分隔),详细描述（佣兵任务等）
,20842,巨鲸遗骸,前往调查巨鲸遗骸,,,你和蓝鲸之间，差了10000000个恐龙的体重。
,20843,巨鲸遗骸,前往调查巨鲸遗骸,,,你和蓝鲸之间，差了10000000个恐龙的体重。
,20844,巨鲸遗骸,前往调查巨鲸遗骸,,,你和蓝鲸之间，差了10000000个恐龙的体重。
,20845,巨鲸遗骸,前往调查巨鲸遗骸,,,你和蓝鲸之间，差了10000000个恐龙的体重。
,20846,巨鲸遗骸,前往调查巨鲸遗骸,,,你和蓝鲸之间，差了10000000个恐龙的体重。
,20847,珍贵的海洋石,采集海洋石[count 1],,,一个不起眼的东西，一旦冠上天然，就价值连城。
,20848,珍贵的海洋石,采集海洋石[count 1],,,一个不起眼的东西，一旦冠上天然，就价值连城。
,20849,珍贵的海洋石,采集海洋石[count 1],,,一个不起眼的东西，一旦冠上天然，就价值连城。
,20850,珍贵的海洋石,采集海洋石[count 1],,,一个不起眼的东西，一旦冠上天然，就价值连城。
,20851,珍贵的海洋石,采集海洋石[count 1],,,一个不起眼的东西，一旦冠上天然，就价值连城。
,20852,讨厌的鱼妖,驱赶鱼妖[count 1],,,大鱼吃小鱼，小鱼吃虾米。那虾米吃什么呢？
,20853,讨厌的鱼妖,驱赶鱼妖[count 1],,,大鱼吃小鱼，小鱼吃虾米。那虾米吃什么呢？
,20854,讨厌的鱼妖,驱赶鱼妖[count 1],,,大鱼吃小鱼，小鱼吃虾米。那虾米吃什么呢？
,20855,讨厌的鱼妖,驱赶鱼妖[count 1],,,大鱼吃小鱼，小鱼吃虾米。那虾米吃什么呢？
,20856,讨厌的鱼妖,驱赶鱼妖[count 1],,,大鱼吃小鱼，小鱼吃虾米。那虾米吃什么呢？
,20857,渔狐之患,清除异尾渔狐[count 1],,,我爱晒背，皮肤好好——龟村日光浴宣传标语。
,20858,渔狐之患,清除异尾渔狐[count 1],,,我爱晒背，皮肤好好——龟村日光浴宣传标语。
,20859,渔狐之患,清除异尾渔狐[count 1],,,我爱晒背，皮肤好好——龟村日光浴宣传标语。
,20860,渔狐之患,清除异尾渔狐[count 1],,,我爱晒背，皮肤好好——龟村日光浴宣传标语。
,20861,渔狐之患,清除异尾渔狐[count 1],,,我爱晒背，皮肤好好——龟村日光浴宣传标语。
,20862,守护深海,击败深海探宝者[count 1],,,探宝千万条，环保第一条。
,20863,守护深海,击败深海探宝者[count 1],,,探宝千万条，环保第一条。
,20864,守护深海,击败深海探宝者[count 1],,,探宝千万条，环保第一条。
,20865,守护深海,击败深海探宝者[count 1],,,探宝千万条，环保第一条。
,20866,守护深海,击败深海探宝者[count 1],,,探宝千万条，环保第一条。
,20867,联盟通缉令,追缉深海巨魔[count 1],,,深海巨魔所谓的腹肌，其实是赘肉太多勒出的痕迹。
,20868,联盟通缉令,追缉深海巨魔[count 1],,,深海巨魔所谓的腹肌，其实是赘肉太多勒出的痕迹。
,20869,联盟通缉令,追缉深海巨魔[count 1],,,深海巨魔所谓的腹肌，其实是赘肉太多勒出的痕迹。
,20870,联盟通缉令,追缉深海巨魔[count 1],,,深海巨魔所谓的腹肌，其实是赘肉太多勒出的痕迹。
,20871,联盟通缉令,追缉深海巨魔[count 1],,,深海巨魔所谓的腹肌，其实是赘肉太多勒出的痕迹。
