,id,Name,Intention,countdown_des,talks,detailDes
备注,任务id,任务标题,任务目标,描述,护送Npc喊话组(以$$分隔),详细描述（佣兵任务等）
,20822,鲸脊缉盗,击败盗墓贼,,,又是藏宝图？！盗墓贼踏足鲸脊岛，快抓住他们！
,20823,鲸脊缉盗,击败盗墓贼,,,又是藏宝图？！盗墓贼踏足鲸脊岛，快抓住他们！
,20824,鲸脊缉盗,击败盗墓贼,,,又是藏宝图？！盗墓贼踏足鲸脊岛，快抓住他们！
,20825,鲸脊缉盗,击败盗墓贼,,,又是藏宝图？！盗墓贼踏足鲸脊岛，快抓住他们！
,20826,鲸脊缉盗,击败盗墓贼,,,又是藏宝图？！盗墓贼踏足鲸脊岛，快抓住他们！
,20827,实验的扫尾工作,击败深海巨魔雷迪,,,博士，实验后请做好扫尾工作。不要给别人添麻烦！
,20828,实验的扫尾工作,击败深海巨魔雷迪,,,博士，实验后请做好扫尾工作。不要给别人添麻烦！
,20829,实验的扫尾工作,击败深海巨魔雷迪,,,博士，实验后请做好扫尾工作。不要给别人添麻烦！
,20830,实验的扫尾工作,击败深海巨魔雷迪,,,博士，实验后请做好扫尾工作。不要给别人添麻烦！
,20831,实验的扫尾工作,击败深海巨魔雷迪,,,博士，实验后请做好扫尾工作。不要给别人添麻烦！
,20832,珊瑚之谜,采集鲸脊岛的珊瑚,,,鲸脊岛珊瑚再次拍出高价，背后却有惊人的事实？！
,20833,珊瑚之谜,采集鲸脊岛的珊瑚,,,鲸脊岛珊瑚再次拍出高价，背后却有惊人的事实？！
,20834,珊瑚之谜,采集鲸脊岛的珊瑚,,,鲸脊岛珊瑚再次拍出高价，背后却有惊人的事实？！
,20835,珊瑚之谜,采集鲸脊岛的珊瑚,,,鲸脊岛珊瑚再次拍出高价，背后却有惊人的事实？！
,20836,珊瑚之谜,采集鲸脊岛的珊瑚,,,鲸脊岛珊瑚再次拍出高价，背后却有惊人的事实？！
,20837,食物小偷,抓住食物小偷,,,螺肉干大量被盗，小偷究竟是谁？
,20838,食物小偷,抓住食物小偷,,,螺肉干大量被盗，小偷究竟是谁？
,20839,食物小偷,抓住食物小偷,,,螺肉干大量被盗，小偷究竟是谁？
,20840,食物小偷,抓住食物小偷,,,螺肉干大量被盗，小偷究竟是谁？
,20841,食物小偷,抓住食物小偷,,,螺肉干大量被盗，小偷究竟是谁？
