,id,name,content
备注,英雄id拼接音频索引,名称,字幕
,10101,【战斗】彩蛋1,啊……我可从来不跟女孩子打架啊……
,10102,【战斗】登场,都快等得不耐烦了！
,10103,【战斗】飞天·疾斩,来吧，全力进攻！
,10152,【剧情】别担心,别担心，不论发生什么事。<br>我都会在你身边。
,10156,【剧情】晕船后遗症,我……我只是不习惯……<br>呃……
,10157,【剧情】家族荣耀,奥兹家族的荣耀不允许你玷污！
,10201,【战斗】胜场1,无论怎样，也要守护重要的事物。
,10202,【战斗】彩蛋,你究竟是为了什么背叛罗兰？
,10301,【战斗】登场1,你怎么会有，能和我一战的错觉？
,10302,【战斗】彩蛋1,老朋友，你阻止不了我的。
,10303,【战斗】胜场1,正义？强大即是正义。
,10401,【战斗】登场1,生命于我，一期一会。
,10402,【战斗】胜场1,你无法领悟生命的奥义。
,10501,【战斗】胜场1,命运之光的指引从不出错。
,10502,【战斗】登场1,小疾风，到我们登场了。
,10601,【战斗】胜场,哦~我又一次杀死了黎明！
,10602,【战斗】彩蛋,光明终将消逝在黑夜里。
,10603,【战斗】登场1,等待湮灭吧！
,10604,【战斗】登场2,杀戮开始！
,10605,【战斗】鬼之泣,面对黑暗吧！
,10701,【战斗】彩蛋1,值得么？为了那些懦弱的人？
,10702,【战斗】修罗斩,让灵魂散落！斩！
,10703,【战斗】百鬼狩,嗯~生命的味道~当心哦！
,10851,【剧情】元气森女,正义与帅哥，都由我守护！
,11201,【战斗】胜场1,失去翅膀的痛苦，让我珍惜每一场胜利。
,11202,【战斗】登场1,你们的舰长回来了！
,11301,【战斗】胜场1,嘿嘿~大家，一起笑起来！
,11302,【战斗】彩蛋,马戏团没能让你留下好回忆，真的抱歉……
,20101,【战斗】彩蛋,你这家伙真是笨死啦！
,20102,【战斗】登场1,都给本大小姐让开！
,20103,【战斗】登场2,本大小姐的个人秀时间到了！
,20104,【战斗】冬祭幻想冰雪,见识下我的魔法。
,20105,【战斗】夏祭幻想焰火,麻烦死了！
,20151,【剧情】不可辜负之事,唯魔法与美食不可辜负。
,20152,【剧情】傲娇本娇,刚刚是法杖先动的手，才不是我呢！
,20153,【剧情】优秀魔法师,放心交给我吧！我可是芙蕾雅家族最优秀的法师呢！
,20154,【剧情】最讨厌的事,本大小姐最讨厌被骗了！
,20155,【剧情】热爱至上,我也很喜欢魔法实验，不同自然元素碰撞在一起的反应，真是太美妙了。
,20156,【剧情】致命提问,难道我不好看吗？
,20157,【剧情】哼！！！,你，你这样是不会有女孩子喜欢的！
,30101,【战斗】彩蛋,姐姐并不是真得想伤害你。
,30102,【战斗】登场1,一拳就解决你！
,30153,【剧情】赏金猎人教条·一,呵，劝你少说几句，<br>难道没有听说过反派死于话多么？！
,30201,【战斗】彩蛋,我还不想跟你回去，姐姐。
,30202,【战斗】胜场1,输给我，今晚你就属于我~
,30203,【战斗】登场1,选我？很有眼光~
,30204,【战斗】登场2,想和我共舞一曲吗？
,30205,【战斗】爱琪野玫瑰,弄疼你了吗~
,30251,【剧情】玫瑰的邀请,想与我共饮一杯吗？
,30252,【剧情】值得信任的人,果然不能期待别人，可以相信的人，只有自己。
,30253,【剧情】愚蠢的想法,玫瑰团不需要外人的怜悯。期待别人的帮助，是最愚蠢的想法。
,40101,【战斗】夜读,阅读时间，别来打扰我。
,40102,【战斗】登场1,平庸的时代，终将翻篇。
