,id,name,content
备注,英雄id拼接音频索引,名称,字幕
,10104,【战斗】飞天·重斩,没想到吧！
,10105,【战斗】命运之握,快点投降吧！<br>胜券在握！
,10106,【战斗】量化·正义裁决,奥兹之剑斩断一切——罪恶！
,10107,【战斗】胜场,我的目标，可是帝国第一！奥兹剑士是最强的！
,10108,【战斗】彩蛋2,帝国第一剑士的称号换人咯！
,10109,【战斗】败场,已经…尽力了… 我一定……会变得……更加强大……
,10203,【战斗】锋刃·月步,我无法放任罪恶不管。
,10204,【战斗】登场,让我来，拼死守护的时刻到了！
,10205,【战斗】锋刃·旋轮,罪恶无处可逃！
,10206,【战斗】锋刃·天坠,做个了断吧！
,10207,【战斗】胜场2,这是我的分内之事。
,10208,【战斗】败场1,我，永不背弃……
,10209,【战斗】败场2,虽不能凯旋，荣光不灭。
,10304,【战斗】登场2,弱者的气息。
,10305,【战斗】黑蚀连斩,废物而已。
,10306,【战斗】鬼炎爆破,弱者，都给我去死！！！
,10307,【战斗】量化·深渊束链,一切到此为止吧！
,10308,【战斗】胜场2,醒醒吧，看清你自己。
,10309,【战斗】彩蛋2,我的弟弟，你还差得远呢！
,10310,【战斗】败场,难道这就是失败的滋味吗? 是我低估了你……
,10351,【剧情】弱为原罪,弱者不配和我说话。
,10403,【战斗】登场2,在苦难中修行。
,10404,【战斗】森罗万象,不要妄动恶念！
,10405,【战斗】万物生,赎罪吧！陷入无尽的羁绊。
,10406,【战斗】胜场2,失礼了，你无法领悟生命的奥义。
,10407,【战斗】彩蛋,等等……你是叫爱琳娜对吧？
,10408,【战斗】败场1,没有什么值得眷恋……
,10409,【战斗】败场2,请把我留在……古加尼尔的森林……
,10503,【战斗】登场2,遵从命运的指引。
,10504,【战斗】疾风之矢,我也不愿意这样，抱歉啦。
,10505,【战斗】疾风怒啸1,小心点哦！会受伤的。
,10506,【战斗】疾风怒啸2,听，风的声音。
,10507,【战斗】胜场2,好像看到了妈妈的微笑。
,10508,【战斗】彩蛋,你失败了，森林之子。
,10509,【战斗】败场,对不起，妈妈，没能守护古加尼尔……
,10554,【剧情】愿神庇佑,Fean-Hlymns！
,10606,【战斗】邪魔真眼,你在和死神对视。
,10607,【战斗】猎魂夜,在暗影的边缘，收割生命！
,10608,【战斗】败场1,那，那是光么……
,10609,【战斗】败场2,黑暗赐予我的，是一无所有么……
,10704,【战斗】结印术·赤蝠,邀请你参加一场盛大的晚宴！哈哈哈！
,10705,【战斗】胜场1,哦~真是遗憾呢~
,10706,【战斗】胜场2,说起来，刚刚真是有意思呢！
,10707,【战斗】彩蛋,有那么一点点长进哟！
,10708,【战斗】败场,有点……意思……你强大得让我兴奋。
,10801,【战斗】登场1,嗨！今天的心情是绿色的！
,10802,【战斗】登场2,森林之光的庇佑！
,10803,【战斗】藤蔓冢,严酷的惩戒！
,10804,【战斗】森系·食人花,森林的力量，生长吧！
,10805,【战斗】熊态·星光乍现,我可是一只， 凶猛的小熊哟！
,10806,【战斗】胜场1,森系少女，就是我咯！
,10807,【战斗】胜场2,守护森林，人人有责！
,10808,【战斗】彩蛋1,啊~要矜持，要矜持。
,10809,【战斗】彩蛋2,啊！现在的他还是那么帅！
,10810,【战斗】败场,啊！好气啊！你弄坏了我的小熊头套！
,10852,【剧情】淡漠少女的内心戏,啊！！真是可爱的男孩子。不，我要淡定。
,11101,【战斗】胜场,王国已经不在，胜利又有什么意义……
,11102,【战斗】登场1,你，就是挑战我的人？年轻人，勇气可嘉。
,11103,【战斗】败场1,伊丽莎……对不起，让你失望了……
,11104,【战斗】铳爆,金属风暴！
,11105,【战斗】雷霆铳耀1,做好觉悟了吗？伊芙利特，消灭他！
,11106,【战斗】雷霆铳耀2,结局已定！
,11107,【战斗】胜场2,敢挑战王者，倒是值得称赞。
,11108,【战斗】败场2,要步上王国的后尘了吗……
,11109,【战斗】彩蛋,纳雅人……算了，一切都过去了。
,11203,【战斗】败场1,我宁死也要为纳雅消灭一个敌人……
,11204,【战斗】登场2,久违了，我的对手们。
,11205,【战斗】刃翼·闪,应急作战开启！
,11206,【战斗】绝响·万刃1,射程瞄准，开火！
,11207,【战斗】绝响·万刃2,进入战斗，准备迎敌！
,11208,【战斗】胜场2,我守住了纳雅舰队的尊严。
,11209,【战斗】败场2,难道……我真得不可以吗……
,11303,【战斗】登场,魔术师，登场！表演开始了哟！
,11304,【战斗】布偶变形术,变成人偶！呀~！哈~！变成胡萝卜！
,11305,【战斗】惊喜吓人箱,是惊喜礼物哟！
,11306,【战斗】胜场2,谢谢~下次的表演也敬请期待哟！
,11307,【战斗】败场,呜……表演……失败了……爸爸，对不起……
,11401,【战斗】怒锋·环噬,还没完呢！蝼蚁——不该活着！
,11402,【战斗】怒锋·碎岩断,恐惧吧！就在这里，将你——彻底消灭！
,11451,【剧情】渴望,我的战斧在渴望！
